sku,vendor_partn,vendor,status,title,notes,our_price,kent_url,homedepot_price,homedepot_url
5468PT,None,Lumber Vendor,Approved,"5/4"" x 6"" Pressure Treated Decking",,"5,1",http://www.kent.ca/kbs/en/product.jsp?prdId=5468PT&skuId=5468PT&catalogId=55,"5,19",http://www.homedepot.ca/product/5-4x6x8-treated-wood-decking/941755
2619005,None,IKO Industries Ltd.,Approved,Cambridge Fibreglass Roof Shingles,,,,,
2660020,None,IKO Industries Ltd.,Approved,Marathon 25 Fibreglass Roofing Shingles,,,,,
2812PT,None,Lumber Vendor,Approved,"2"" x 8"" x 12' Pressure Treated Lumber",,,,,
5255588,BL1001-8,Home Product Source,Approved,Real Stone-Look 8mm Laminate Flooring,,,,,
168PT,168PT,Lumber Vendor,Approved,"1"" x 6"" Pressure Treated Fence Boards",,"$3,92 ",http://www.kent.ca/kbs/en/product.jsp?skuId=168PT&navAction=jump&prdId=168PT&catalogId=1398,"3,89",http://www.homedepot.ca/product/1x6x8-treated-wood-fence-board/941652
1640500,None,Guardian Building Products Distribution,Approved,Tyvek,,,,,
1532UR,None,Lumber Vendor,Approved,"15/32"" Oriented Strand Board (OSB) Panel",,,,,
2822421,None,Mitten,Approved,Cabot Brownstone Vinyl Siding,,,,,
5255578,FLEND1290RB,Taiga Forest Products,Approved,Provence Laminate Flooring,,"$33,25 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5255578&navAction=jump&prdId=5255578&catalogId=1191,,
7006895,101023-S-L-000,"Maax Canada Inc. (Lachine, Beauce, Westco)",,Aspen 3-Piece Tub & Shower,,"$899,00 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7006895&navAction=jump&prdId=7006895&catalogId=672,,
2619006,None,IKO Industries Ltd.,Approved,Cambridge Fibreglass Roof Shingles,,,,,
7688005,None,Seasonal Import,Approved,Lawn & Garden Topsoil,,,,,
2410SDCK,None,Lumber Vendor,Approved,"2"" x 4"" Dimensional Lumber",,,,,
5255576,FLEND1290MD,Taiga Forest Products,Approved,Molokai Driftwood 12.3mm Laminate Flooring,,"$35,12 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5255576&navAction=jump&prdId=5255576&catalogId=1191,,
7688047,None,Envirem Technologies,Approved,Red Cedar Mulch,,,,,
2610SDCK,None,Lumber Vendor,Approved,"2"" x 6"" Dimensional Lumber",,,,,
2612SDCK,None,Lumber Vendor,Approved,"2"" x 6"" Dimensional Lumber",,,,,
54610PT,None,Lumber Vendor,Approved,"1-1/4"" x 6"" x 10' Pressure Treated Decking",,,,,
6460274,713-110,Sico Inc.,Approved,Sico Supreme Interior Eggshell Latex Paint,,"$42,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6460274&navAction=jump&prdId=6460274&catalogId=2056,,
7127326,RDH2010TCW,Dimplex North America Ltd.,Approved,"1,000/2,000w Wall-Insert Heater",,"$129,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7127326&navAction=jump&prdId=7127326&catalogId=1781,"$129,00 ",http://www.homedepot.ca/product/2000w-240v-fan-forced-wall-insert-electric-heater-white/901510
B38,None,Thermo-Cell Industries Ltd.,Approved,Blown-In Cellulose Insulation,,,,,
7006896,,,,,,,,,
4410PT,None,Lumber Vendor,Approved,"4"" x 4"" x 10' Pressure Treated Lumber",,"11,54",http://www.kent.ca/kbs/en/product.jsp?prdId=448PT&catalogId=1398&skuId=4410PT,"11,35",http://www.homedepot.ca/product/4x4x10-treated-wood/941595
34BSHO,None,Columbia Forest Products,Approved,"3/4"" Shop-Grade Birch Plywood",,,,,
886730,None,Mitten,Approved,"24"" x 98' 4"" Coil Stock",,,,,
1826152,None,Alexandria Mouldings,Approved,"3-7/8"" Primed MDF Colonial Baseboard",,,,"89,99",
7140510,JM6S36,Selkirk Canada Corporation (Supervent Chimney),Approved,"6"" x 36"" Chimney Length",,"$89,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7140510&navAction=jump&prdId=7140510&catalogId=1775,"$89,99 ",http://www.homedepot.ca/product/36-in-length-over-pack/945808
1248WR,143010,CGC Inc.,Approved,"Sheetrock 1/2"" x 4' Water-Resistant Panel",,"$17,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=1248WR&navAction=jump&prdId=1248WR&catalogId=41,,
7318041,None,Scott's Nursery,Needs Translation,Annual 4 pack,No to view online,,,,
727570,None,Shaw Group,Approved,"24"" x 24"" Patio Block",,,,"8,99",
500070,205-02,Canadian Technical Tape,Approved,Sheathing Tape,,"$11,79 ",http://www.kent.ca/kbs/en/product.jsp?skuId=500070&navAction=jump&prdId=500070&catalogId=2045,"$8,99 ",http://www.homedepot.ca/product/tuck-contractors-sheathing-tape/984239
138SDCK,None,Lumber Vendor,Approved,"1"" x 3"" Spruce Strapping",,,,,
1106PSTD,1106PSTD,JD Irving Ltd,Approved,6' Knotty Pine Shelving,,"$5,37 ",http://www.kent.ca/kbs/en/product.jsp?skuId=1106PSTD&navAction=jump&prdId=1106PSTD&catalogId=54,,
551010,None,IKO Industries Ltd.,Approved,#15 Plain Felt Roofing Paper,,,,,
16675,None,Canwel,Approved,Mini Pickwick Cottage Grade Pine Paneling,,,,,
7009028,,,,,,,,,
2412SDCK,None,Lumber Vendor,Approved,"2"" x 4"" Dimensional Lumber",,,,,
2810421,None,Mitten,Approved,White Vented Soffit,,,,,
5255744,FLTILE8SB,Taiga Forest Products,Approved,Spring Blossom 8.3mm Laminate Tile Flooring,,"$62,92 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5255744&navAction=jump&prdId=5255744&catalogId=1192,,
7009027,KD53L,Mirolin Industries Corp.,Approved,Empire 3-Piece Tub & Shower,,"$999,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7009027&navAction=jump&prdId=7009027&catalogId=672,,
2619012,None,IKO Industries Ltd.,Approved,Cambridge Fibreglass Roof Shingles,,,,,
725055,None,Canadian Salt Co. Ltd. (Windsor),Approved,Water Softener Salt,,,,,
38SSTD,None,Lumber Vendor,Approved,"3/8"" Standard Spruce Plywood",,,,,
6460230,671-500,Sico Inc.,Approved,Sico Select Ceiling Paint,,"$27,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6460230&navAction=jump&prdId=6460230&catalogId=2056,,
5055019,,,,,,,,,
14IMPW,None,Columbia Forest Products,Approved,"1/4"" Import Meranti Plywood",,,,,
7650563,986554LP,Onward Manufacturing Company Ltd.,Approved,Broil King Signet 20 Propane Barbecue,,,,,
16680,None,Canwel,Approved,Valley Beaded Pine Paneling,,,,,
24SDE,None,Lumber Vendor,Approved,"2"" x 4"" Kiln-Dried Value Studs",,,,,
2PROE2,None,Owen's Corning Canada LP,Approved,Foamular C-200 R10 Rigid Foam Insulation,,,,,
6071160,None,Plasti-Bac Inc.,Approved,360 L Garbage Can with Wheels,,,,,
6444000,58800C/01,PPG Canada Inc.,Approved,Olympic Semi-Transparent Stain,,"$34,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6444000&navAction=jump&prdId=6444000&catalogId=2129,,
5765080,None,Black and Decker Canada Inc.,Approved,DeWalt 18v 2-Tool Combo Kit,,,,,
CO2668,DCO20,Moulding and Millwork,Approved,6-Panel Door,,,,,
7318104,None,Scott's Nursery,Needs Translation,"4"" Crossandra",No to view online,,,,
2810PT,None,Lumber Vendor,Approved,"2"" x 8"" x 10' Pressure Treated Lumber",,,,,
8638101,WHS400,Import Vendor,Approved,"42"" Lawn Sweeper",,,,,
54410PT,None,Lumber Vendor,Approved,"5/4"" x 4"" Pressure Treated Decking",,,,,
18PBARN,None,JD Irving Ltd,French Review,"1"" x 8"" Pine Barn Board",,,,,
2619004,None,IKO Industries Ltd.,Approved,Cambridge Fibreglass Roof Shingles,,,,,
1620830,None,Owen's Corning Canada LP,Approved,Foamular Codebord R5 Insulation 4'x8',,,,,
18250102,None,Alexandria Mouldings,Approved,Quarter Round Moulding,,,,,
5241345,60055,Mapei,Approved,Ultraflex 2 Tile Mortar,,"$29,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5241345&navAction=jump&prdId=5241345&catalogId=757,,
2616SDCK,None,Lumber Vendor,Approved,"2"" x 6"" Dimensional Lumber",,,,,
7006458,101694-000-129,"Maax Canada Inc. (Lachine, Beauce, Westco)",Approved,Himalayan Shower Stall,,"$299,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7006458&navAction=jump&prdId=7006458&catalogId=660,,
7129001,None,Electrolux,Approved,25 Pint Dehumidifier,,,,,
328203,None,Lifestyles_Vendor,Approved,"#9 x 2-1/2"" Green Deck Screws",,,,,
6646135,10-01905-0,Henkel Consumer Adhesives,Approved,PL Premium Adhesive,,"$5,29 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6646135&navAction=jump&prdId=6646135&catalogId=2043,"$5,29 ",http://www.homedepot.ca/product/polyurethane-construction-adhesive-300ml/947644
6846069,10HM2273 WAL-0505,Twin-Star International,Approved,Duraflame Infra-Red Quartz Heater,,,,,
6832435,,,,,,,,,
2410PT,None,Lumber Vendor,Approved,"2"" x 4"" x 10' Pressure Treated Lumber",,,,,
5055000,,,,,,,,,
5453404,FW4848205,Shade-O-Matic,Approved,"2"" Faux Wood Blind",,,,,
7520023,961980047,Husqvarna Canada,Approved,"Poulan Pro 291 cc 27"" Snow Thrower",,"$1.299,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7520023&navAction=jump&prdId=7520023&catalogId=1199,,
12SSEL,None,Lumber Vendor,Approved,"1/2"" Spruce Select Plywood",,,,,
34A1T,None,Lumber Vendor,Approved,Oriented Strand Board (OSB) Panels,,,,,
34SSEL,None,Lumber Vendor,Approved,"3/4"" Spruce Select Plywood",,,,,
58SSTD,None,Lumber Vendor,Approved,"5/8"" Spruce Standard Plywood",,,,,
5055031,,,,,,,,,
2284735,None,Atlantic Windows,Needs Translation,Vision Horizontal Slider Window,No to view online,,,,
5064726,HEBEI#4,Hebei Machinery Import,Approved,"48"" Espresso Vanity",,,,,
6917003,PA6030L/R,Mirolin Industries Corp.,Approved,Phoenix Soaker Tub,,"$279,00 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6917003&navAction=jump&prdId=6917003&catalogId=633,,
5064005,500,CCT Global,Approved,"24"" White Euro Vanity",,"$99,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5064005&navAction=jump&prdId=5064005&catalogId=1313,,
2611000,None,Owen's Corning Canada LP,Approved,Oakridge Roofing Shingles,,,,,
2810455,None,Mitten,Approved,"5/8"" J-Channel",,,,,
5055023,,,,,,,,,
2760340,None,CGC Inc.,Approved,All-Purpose Lite Drywall Compound,,,,,
5055024,,,,,,,,,
CONR1223,None,Owen's Corning Canada LP,Approved,R-1223 EcoTouch™ PINK™ FIBERGLAS® Insulation,,,,,
2816PT,None,Lumber Vendor,Approved,"2"" x 8"" x 16' Pressure Treated Lumber",,,,,
54416PT,None,Lumber Vendor,Approved,"5/4"" x 4"" x 16' Pressure Treated Decking",,,,,
2660018,None,IKO Industries Ltd.,Approved,Marathon 25 Fibreglass Roofing Shingles,,,,,
288PT,None,Lumber Vendor,Approved,"2"" x 8"" Pressure Treated Lumber",,,,,
5055035,,,,,,,,,
2616PT,None,Lumber Vendor,Approved,"2"" x 6"" x 16' Pressure Treated Lumber",,,,,
PI2668P,None,Import Doors,Approved,6-Panel Knotty Pine Door,,,,,
5229191,69VYN,Mat King,Approved,6' x 9' Pre-Cut Vinyl,,"$34,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5229191&navAction=jump&prdId=5229191&catalogId=1259,,
725015,None,Lumber Vendor,Approved,Portland Cement 40 kg,,,,,
6612058,3PK LF-10,Bennett,Approved,3 Pack Perfection Roller 10mm,,"$10,99 ",http://www.kent.ca/kbs/en/search.jsp?removeAllFacets=true&addFacet=12015%3Aen%3ASRCH%3A6612058&_requestid=2025401,,
6460112,170-135,Sico Inc.,Approved,Interior Latex Primer-Sealer,,"$31,99 ",http://www.kent.ca/kbs/en/search.jsp?removeAllFacets=true&addFacet=12015%3Aen%3ASRCH%3A6460112&_requestid=2025449,,
5255736,FLENBD12.3RC,Taiga Forest Products,Approved,Royal Chestnut 12.3mm Laminate Flooring,,"$39,04 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5255736&navAction=jump&prdId=5255736&catalogId=1191,,
6917004,,,,,,,,,
2493SDSK,,,,,,,,,
5257118,None,Import Vendor,Approved,2-in-1 Foam Underlay,,,,,
5064008,491,CCT Global,Approved,"24"" Espresso Euro Vanity",,"$99,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5064008&navAction=jump&prdId=5064008&catalogId=1308,,
2619003,None,IKO Industries Ltd.,Approved,Cambridge Fibreglass Roof Shingles,,,,,
6460245,711-116,Sico Inc.,Approved,Sico Supreme Pink Ceiling Paint,,"$32,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6460245&navAction=jump&prdId=6460245&catalogId=2056,,
6807100,FW842,Canarm Ltd.,Approved,"48"" Fluorescent Wrap Light",,"$24,95 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6807100&navAction=jump&prdId=6807100&catalogId=927,,
2619008,None,IKO Industries Ltd.,Approved,Cambridge Fibreglass Roof Shingles,,,,,
2660015,None,IKO Industries Ltd.,Approved,Marathon 25 Fibreglass Roofing Shingles,,,,,
1422015,None,Canwel,Needs Translation,Paintable Beaded Panel,No to view online,,,,
165PT,165PT,Lumber Vendor,Approved,"1"" x 6"" Pressure Treated Fence Boards",,"$3,92 ",http://www.kent.ca/kbs/en/product.jsp?skuId=168PT&navAction=jump&prdId=168PT&catalogId=1398,,
87700,None,Import Packages,Approved,Ground Spike,,,,,
7410104,7344015Y,Dorel Distribution Canada,Approved,Deluxe Storage Cabinet,,"$119,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7410104&navAction=jump&prdId=7410104&catalogId=794,,
2412PT,None,Lumber Vendor,Approved,"2"" x 4"" x 12' Pressure Treated Lumber",,,,,
1620715,None,Downeast Plastics Ltd.,Approved,"3/4"" Thermalite Insulation",,,,,
7128577,CRA052XT7,Electrolux,Approved,"5,000 BTU Air Conditioner",,"$99,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7128577&navAction=jump&prdId=7128577&catalogId=1638,,
6459203,,,,,,,,,
12410,141260,CGC Inc.,Approved,"Sheetrock 1/2"" x 4' Tapered Edge Panel",,,,,
6732800,LL84514W,Import Vendor,Approved,Bright White CFL Light Bulb Value Pack,,"$24,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6732800&navAction=jump&prdId=6732800&catalogId=1212,,
5255737,FLENBD12.3IH,Taiga Forest Products,Approved,Imperial Hickory 12.3mm Laminate Flooring,,"$39,04 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5255737&navAction=jump&prdId=5255737&catalogId=1191,,
54614PT,None,Lumber Vendor,Approved,"5/4"" x 6"" Pressure Treated Decking",,,,,
6441230,None,PPG Canada Inc.,Final Review,Olympic® Solid Latex Stain,No image,,,,
4412PT,None,Lumber Vendor,Approved,"4"" x 4"" x 12' Pressure Treated Lumber",,,,,
7167779,DB03030,Stove Builder International,Approved,Austral Wood Stove,,"$1.074,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7167779&navAction=jump&prdId=7167779&catalogId=1206,,
5055020,,,,,,,,,
5266198,None,Import Vendor,Approved,"42"" Stair Tread & Riser Kit",,,,,
5055018,,,,,,,,,
668PT,None,Lumber Vendor,Approved,"6"" x 6"" Pressure Treated Lumber",,,,,
5055025,,,,,,,,,
6460276,,,,,,,,"25,38",
5055017,,,,,,,,,
58SSELT,None,Lumber Vendor,Approved,"5/8"" Spruce Select Plywood",,,,,
6844110,14,PTI Cables Inc.,Approved,75m 12/2 Red Wire,,"$105,00 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6844110&navAction=jump&prdId=6844110&catalogId=707,,
CO2068B,COB20,Moulding and Millwork,Approved,6-Panel Interior Bifold Door,,,,,
2822406,None,Mitten,French Review,Cambridge Series Vinyl Siding,,,,,
7068335,FP7110T-08,Wicor Canada (Pentair),Approved,19 Gallon Pressure Tank,,"$154,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7068335&navAction=jump&prdId=7068335&catalogId=1488,,
2040600,2RV12WHNSH,Aluminart Contact,Approved,Regal 2-Lite Storm Door,,"$329,00 ",http://www.kent.ca/kbs/en/product.jsp?skuId=2040600&navAction=jump&prdId=2040600&catalogId=1394,,
21012PT,None,Lumber Vendor,Approved,"2"" x 10"" x 12' Pressure Treated Lumber",,,,,
1612PT,None,Lumber Vendor,Approved,"1"" x 6"" x 12' Pressure Treated Lumber",,,,,
34FG1S,None,Lumber Vendor,Approved,"3/4"" Good-One-Side Plywood",,,,,
2614SDCK,None,Lumber Vendor,Approved,"2"" x 6"" Dimensional Lumber",,,,,
2055105,None,Garaga Inc,Needs Translation,Alterna II Insulated Garage Door,No to view online,,,,
5255523,721-14-8722,Goodfellow,Approved,Saxon Montreal Oak Laminate Flooring,,"$22,71 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5255523&navAction=jump&prdId=5255523&catalogId=1192,,
392505,None,Canwel,Approved,"12"" White Painted Shelf",,,,,
375020,None,Gentek,Approved,Aluminum Roof Edge,,,,,
8753202,JD10-607411/JD10-607412,Jade Design,Approved,Harlem 4 Piece Lounge Set,,,,,
5848FC,142110,CGC Inc.,Approved,"Sheetrock 5/8"" x 4' Firecode Panel",,"$12,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5848FC&navAction=jump&prdId=5848FC&catalogId=41,"$25,38 ",http://www.homedepot.ca/product/firecode-core-drywall-gypsum-panel-tapered-edge-5-8-in-4-ft-x-12-ft/911236
6610PT,None,Lumber Vendor,Approved,"6"" x 6"" x 10' Pressure Treated Lumber",,,,,
1640065,None,Balcan Plastics Ltd.,Approved,500 Sq. Ft. Vapour Barrier,,,,,
2098330,CES-324FL-BM,Standard Patio Doors,Approved,"32"" 4-5/8 Esquire Steel Door",,"$299,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=2098330&navAction=jump&prdId=2098330&catalogId=1357,,
2641015,None,Gentek,Approved,Drip Edge,,,,,
1610PT,None,Lumber Vendor,Approved,"1"" x 6"" x 10' Pressure Treated Lumber",,,,,
7688052,None,Envirem Technologies,Approved,Black Earth,,,,,
6912029,AE001,A&E Bath and Shower,Approved,Neo-Round Acrylic Shower,,,,,
7650575,445154LP,Onward Manufacturing Company Ltd.,Approved,"Sterling 40,000 BTU Propane Barbecue",,,,,
7318033,None,Scott's Nursery,Needs Translation,"4"" Geranium",No to view online,,,"56,87",
CO2668PHL,None,Moulding and Millwork,Approved,Pre-Hung 6-Panel Interior Door,,,,,
1032209,None,Marwood Ltd,Approved,"1-3/8"" Angle Cut Baluster",,,,,
5229196,812VYN,Mat King,Approved,8' x 12' Pre-Cut Vinyl,,"$64,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5229196&navAction=jump&prdId=5229196&catalogId=1259,,
34RANG,None,Goodfellow,Approved,"3/4"" MDF Panel",,,,,
34SSELT,None,Lumber Vendor,Approved,"3/4"" Tongue & Groove Spruce Select Plywood",,,,,
6450330,9-300 line,PPG Canada Inc.,Approved,Pure Performance Interior Eggshell Latex Paint,,"$41,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6450330&navAction=jump&prdId=6450330&catalogId=2056,,
7160000,None,J.A. Roby,Approved,Ultimate Wood Stove,,,,,
7306003,None,Scott's Nursery,Needs Translation,"10"" Fall Mum",No to view online,,,,
1132PLYBEAD,None,Georgia Pacific,Needs Translation,"11/32"" Plybead Panelling",No to view online,,,,
1826009,None,Alexandria Mouldings,Needs Translation,Colonial Baseboard,No to view online,,,,
5255730,FLAD8.3CW,Taiga Forest Products,Approved,Country Walnut 8.3mm Laminate Flooring,,"$25,93 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5255730&navAction=jump&prdId=5255730&catalogId=1192,,
CO2668PHR,None,Moulding and Millwork,Approved,Pre-Hung 6-Panel Interior Door,,,,,
5250094,722-38-0010,Goodfellow,Approved,"3-1/4"" Maritime Birch Natural Flooring",,,,,
2760205,381411,CGC Inc.,Approved,20kg Drywall Compound,,,,,
38SSEL,None,Lumber Vendor,Approved,"3/8"" Spruce Select Plywood",,,,,
2829406,,,,,,,,"93,99",
5442201,None,Picture Depot,Needs Translation,Framed Oil Print,No to view online,,,,
6640401,MF6060PS,Metal Tech North America Inc,Approved,5' x 5' Scaffold Frame,,"$56,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6640401&navAction=jump&prdId=6640401&catalogId=1616,"$56,87 ",http://www.homedepot.ca/product/metaltech-saferstack-standard-mason-scaffold-frame-60-x-60-inches-with-pins/938857
2590974,None,Lighthouse Lumber,Final Review,Adjustable Jack Post,No image,,,,
6456200,163-501,Sico Inc.,Approved,Kitchen and Bath Latex Paint,,"$44,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6456200&navAction=jump&prdId=6456200&catalogId=2056,,
2PRO,None,Owen's Corning Canada LP,Approved,Foamular C-300 R10 Insulation,,,,,
1826008,None,Alexandria Mouldings,Approved,Primed MDF Colonial Casing,,,,,
6460231,673-500,Sico Inc.,Approved,Sico Select Interior Eggshell Latex Paint,,"$33,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6460231&navAction=jump&prdId=6460231&catalogId=2056,,
2821030,None,Gentek,Approved,White Aluminum Fascia,,,,,
2108PT,None,Lumber Vendor,Approved,"2"" x 10"" Pressure Treated Lumber",,,,,
