Unique Code,Product Name,Product Brand/Category,Product URL,Product Image URL,Price,Shipping (optional),Ebay Store,Ebay URL,,
10429,3D Vacuum Sublimation Machine & Accessories,Pixmax,https://www.monstershop.co.uk/pixmax-3d-vacuum-sublimation-machine-accessories,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/1/0/10429_001_new.jpg,399.99,Free,signzworld,http://www.ebay.co.uk/itm/ST-3042-3D-SUBLIMATION-Vacuum-Oven-Heat-Press-Transfer-Phone-Plate-Mug-/281107688389?var=&hash=item8716720c79,,
9113,Vinyl Cutter Plotter With Graphics & Signmaking Software ,Pixmax,https://www.monstershop.co.uk/pixmax-vinyl-cutter-plotter-with-graphics-signmaking-software,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/9/1/9113v_001.jpg,299.99,Free,signzworld,http://www.ebay.co.uk/itm/BEST-SELLING-MODEL-LIYU-VINYL-CUTTER-PLOTTER-CUTTER-TC631-28-INCH-FAST-DELIVERY-/270977476406?hash=item3f17842736, http://www.ebay.co.uk/itm/EH721-Vinyl-Cutter-Cutting-Plotter-Package-Deal-Signcut-Sign-Making-/281978731993?hash=item41a73dfdd9,
10314,38cm x 38cm Swing Heat Press Machine ,Pixmax,https://www.monstershop.co.uk/pixmax-38cm-x-38cm-swing-heat-press-machine,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/1/0/10314_001.jpg,199.99,Free,signzworld,http://www.ebay.co.uk/itm/38x38cm-SWING-Heat-Press-HP3805B-Standalone-Sublimation-T-Shirt-Transfer-Print-/281918980519?hash=item41a3ae41a7,,
10609,36 White Polymer Coated AAA Mugs With Boxes ,Pixmax,https://www.monstershop.co.uk/36-white-polymer-coated-mugs-with-boxes,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/1/0/10411_010.jpg,32.99,Free,signzworld,http://www.ebay.co.uk/itm/36-White-ORCA-Double-Coated-11oz-Small-Handle-Mugs-Sublimation-Heat-Press-Print-/281075161787?hash=item4171629abb, http://www.ebay.co.uk/itm/36-White-Double-Layer-Coated-11oz-Large-Handle-Mugs-Sublimation-Mug-Heat-Press-/281682575494?hash=item4195970086,
9110,Sublimation Cap Heat Press Machine,Pixmax,https://www.monstershop.co.uk/pixmax-sublimation-cap-heat-press-machine,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/9/1/9110_001.jpg,139.99,Free,signzworld,http://www.ebay.co.uk/itm/8-x-14cm-CAP-Heat-Press-Machine-CP3815-Sublimation-T-shirt-Printing-Baseball-Hat-/270967951751?hash=item3f16f2d187, ,
10615,3 Pan Wet Well Bain Marie ,Kukoo,https://www.monstershop.co.uk/kukoo-3-pan-wet-well-bain-marie,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/1/0/10615_001.jpg,199.99,Free,skez444,http://www.ebay.co.uk/itm/NEW-ACE-3-GN1-2-PAN-WET-WELL-BAIN-MARIE-SERVERY-HOT-FOOD-DISPLAY-GLASS-COVER-/391009838204, , 
10611,5 in 1 52cc Petrol Garden Cutter Multi Tool ,T-Mech,https://www.monstershop.co.uk/t-mech-5-in-1-52cc-petrol-garden-cutter-multi-tool,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/1/0/10611_015.jpg,139.99,Free,t4tools_micromantis,http://www.ebay.co.uk/itm/52cc-Multi-Function-Garden-Tool-5in1-Petrol-Strimmer-Brush-Cutter-Chainsaw-etc-/271545867641?hash=item3f39651d79, ,
10120,70cm Wide Electric Griddle,Kukoo,https://www.monstershop.co.uk/kukoo-70cm-wide-electric-griddle,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/1/0/10120_001_1.jpg,199.99,Free,tansik1,http://www.ebay.co.uk/itm/ELECTRIC-STEEL-GRIDDLE-COUNTER-TOP-FLAT-HOTPLATE-73CM-2-BURNERS-2-PLUGS-/322089624614?hash=item4afe09a426, ,
8368,60cm Wide Glass Food Warmer,Kukoo,https://www.monstershop.co.uk/kukoo-60cm-wide-glass-food-warmer,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/8/3/8368_001.jpg,199.99,Free,tansik1,http://www.ebay.co.uk/itm/New-Counter-Top-Heated-Display-Curved-Glass-Hot-Food-Cabinet-Warmer-/322089620841?hash=item4afe099569, http://www.ebay.co.uk/itm/New-Counter-Top-Heated-Red-Display-Curved-Glass-Hot-Food-Cabinet-Warmer-/322089980190?hash=item4afe0f111e, 
8369,90cm Wide Glass Food Warmer,Kukoo,https://www.monstershop.co.uk/kukoo-90cm-wide-glass-food-warmer,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/8/3/8369_001.jpg,299.99,Free,tansik1,http://www.ebay.co.uk/itm/Commercial-Warmer-Heated-Hot-Food-Cabinet-Display-Just-249-99-/231878049116?hash=item35fd023d5c,http://www.ebay.co.uk/itm/New-Commercial-Hot-Food-Chicken-Warmer-Display-Cabinet-Showcase-/322092356837?hash=item4afe3354e5,
10486,Electric Cement Mixer - 70 Litre ,T-Mech,https://www.monstershop.co.uk/t-mech-electric-cement-mixer-70-litre,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/1/0/10486_001.jpg,139.99,Free,ukhomeshoppin,http://www.ebay.co.uk/itm/Wolf-50L-Concrete-Mixer-375w-Electric-Cement-Mortar-Plaster-Sand-Mixer-Portable-/371350448892?hash=item5676362afc,,
10612,52cc Petrol Earth Auger ,T-Mech,https://www.monstershop.co.uk/t-mech-52cc-petrol-earth-auger,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/1/0/10612_015.jpg,149.99,Free,unbeatable09,http://www.ebay.co.uk/itm/52cc-Petrol-Earth-Auger-Ground-Drill-Fence-Post-Hole-Borer-3-Bits-Extension-/322035060925?hash=item4afac910bd,,
10618,3 Heated Lamps Food Warmer,Kukoo,https://www.monstershop.co.uk/kukoo-3-heated-lamps-food-warmer,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/1/0/10618_001.jpg,159.99,Free,werz67,http://www.ebay.co.uk/itm/Carvery-Heated-Display-3-Three-Lamp-Food-Plate-Warmer-Pub-Buffet-New-/300912856717?hash=item460fcdce8d,,
10280,Banknote Money Counting Machine ,T-Mech,https://www.monstershop.co.uk/t-mech-banknote-money-counting-machine,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/1/0/10280_001.jpg,99.99,Free,zzap_cash_handlin,http://www.ebay.co.uk/itm/Bank-Note-Banknote-Money-Currency-Counter-Count-Fake-Detector-Pound-Cash-Machine-/160890770318, http://www.ebay.co.uk/itm/Bank-Note-Currency-Value-Counter-Count-Fake-Detector-Money-Banknote-Cash-Machine-/151248881478,
