area,country,price,rooms,name,chain
"Varablanca, 31698 Vara Blanca, Costa Rica",Costa Rica,,"Hotel Rooms: 12","Poas Volcano Lodge",Independent
"
Manuel Antonio beach , 60601 Manuel Antonio, Costa Rica",Costa Rica,,"Hotel Rooms: 60","Hotel La Mariposa",Independent
"
Playa Palo Seco, 60901 Parrita, Costa Rica",Costa Rica,,"Hotel Rooms: 12","Clandestino Beach Resort",Independent
"
300m sur del Rio Nosara, 50206 Nosara, Costa Rica",Costa Rica,,"Hotel Rooms: 8","Costa Rica Yoga Spa",Independent
"
100 Metros sur del Cementerio de San Antonio de Belen, 40101 San Antonio, Costa Rica",Costa Rica,,"Hotel Rooms: 18","La Riviera Hotel",Independent
"
Cruce Poas & Grecia , Tambor, 20802 Alajuela, Costa Rica",Costa Rica,,"Hotel Rooms: 20","Villa San Ignacio",Independent
"
La Fortuna, San Carlos, Costa Rica, 2716-3000 Fortuna, Costa Rica",Costa Rica,,"Hotel Rooms: 13","Hotel Campo Verde",Independent
"
Main Road to Manuel Antonio, 3 Kilometers, 60601 Manuel Antonio, Costa Rica",Costa Rica,,"Hotel Rooms: 11","Makanda by The Sea Hotel Adults Only",Independent
"
West Side of Play and EPA Store, 10104 San José, Costa Rica",Costa Rica,,"Hotel Rooms: 111,","Wyndham Garden San Jose Escazu","Hotel Chain:
Wyndham Hotels & Resorts
"
"1.5 km del Pueblo de la Fortuna de San Carlos , 21007 Fortuna, Costa Rica",Costa Rica,,"Hotel Rooms: 7","Hotel Bijagua",Independent
"
Playa Guiones, 400 Metros Oeste Del Hotel Giardino Tropicale, 50206 Nosara, Costa Rica",Costa Rica,,"Hotel Rooms: 7","La Negra Surf Hotel & Soda",Independent
"
Barrio Buenos Aires Liberia Guanacaste, 50101 Liberia, Costa Rica",Costa Rica,,"Hotel Rooms: 14","Villa Hermosa",Independent
"
Carretera a Parrita, 8km despues del Rio Tulin, Segunda entrada a Mano derecha, 10300 Esterillos, Costa Rica",Costa Rica,,"Hotel Rooms: 23","Hotel Costa Pacifica",Independent
"
Garabito 300 Metros Al Norte De La Entrada Principal De Punta Leona, 00001 Herradura, Costa Rica",Costa Rica,,"Hotel Rooms: 20","Hotel D' Lucia",Independent
"
100 N Bomba Zurqui, carretera Guapiles. 100 N Bomba Zurqui, carretera Guapiles., 11402 San Jerónimo, Costa Rica",Costa Rica,,"Hotel Rooms: 36","Villa Zurqui",Independent
"
Lomas de Ayarco Sur, Lote D6, Parque de Piedra, 200 Sur, 25 Oeste, San José, Costa Rica",Costa Rica,,"Hotel Rooms: 16","Apartamento El Descanso",Independent
"
200 Meters Oeste de Minae, Playa Grande, Costa Rica",Costa Rica,,"Hotel Rooms: 5","BP Surf Hotel",Independent
"
del Yacht Club 250mts Oeste, Cocal, Puntarenas del Yacht Club 250mts Oeste, Cocal, Puntarenas, Puntarenas, Costa Rica",Costa Rica,,"Hotel Rooms: 27","Porto Bello",Independent
"
100 Sur Cruce Junquillal, mano izquierda, Cuajiniquil, La Cruz, Guanacaste, Cuajiniquil, Costa Rica",Costa Rica,,"Hotel Rooms: 8","Santa Elena Lodge",Independent
"
Costado Sur del Banco Davivienda, Puntarenas, Costa Rica",Costa Rica,,"Hotel Rooms: 4","Cabinas Gosen",Independent
"
Puntarenas centro 50 metros sur de la bomba Acon, Puntarenas, Costa Rica",Costa Rica,,"Hotel Rooms: 18","Hotel Cayuga",Independent
"
Contiguo a la escuela Union Ferrer, fortuna de Bagaces, 00011 Fortuna, Costa Rica",Costa Rica,,"Hotel Rooms: 40","Thermomania",Independent
"
Calle 11, Entre Avenidas 2 y 6, 10104 San José, Costa Rica",Costa Rica,,"Hotel Rooms: 19","Hotel Doña Inés",Independent
"
Entrada del Bar Lizard a la Derecha. Un kilometro. Camino a La Chorrera. Diagonal al Club Pacifico., 00011 Cacique, Costa Rica",Costa Rica,,"Hotel Rooms: 12","Villa del Sol",Independent
"
300 Metros Oeste Oficina de Correos, 60601 Fortuna, Costa Rica",Costa Rica,,"Hotel Rooms: 19","Hotel La Choza Inn",Independent
"
Estamos ubicados 500 metros Norte de La Escuela de Los Chiles de Aguas Zarcas, San Carlos, 21004 Chiles, Costa Rica",Costa Rica,,"Hotel Rooms: 22","Hotel Vale's",Independent
"
Jaco Beach, Quebrada Seca street, 61101 Jacó, Costa Rica",Costa Rica,,"Hotel Rooms: 6","Hotel Green",Independent
"
5 miles from Dominical Beach Direction San Isidro, 99999 Dominical, Costa Rica",Costa Rica,,"Hotel Rooms: 6","Waterfall Villas",Independent
"
Calle Las Hornillas, 21007 Fortuna, Costa Rica",Costa Rica,,"Hotel Rooms: 8","Ailanto Mountain Reserve",Independent
"
Calizal Punta Arenas 50 Oeste del Pali de Chacarita y 50 norte, Cabinas Fico, 60112 Puntarenas, Costa Rica",Costa Rica,,"Hotel Rooms: 9","Cabinas Fico",Independent
"
Barrio hospital viejo,Detrás de la guardia publica. Edificio 3 plantas, 11901 Canalete, Costa Rica",Costa Rica,,"Hotel Rooms: 16","Hotel del Río",Independent
"
Costado norte de la Catedral, contiguo Escuela Delia, 60101 Puntarenas, Costa Rica",Costa Rica,,"Hotel Rooms: 10","Hotel Jackie's House",Independent
"
Diagonal al Mc Donald del Centro Comercial Cariari, Asuncion, 40101 San José, Costa Rica",Costa Rica,,"Hotel Rooms: 134,","City Express San Jose Aeropuerto","Hotel Chain:
City Express Hotels
"
"La Palma Carretera 142, 21007 Palma, Costa Rica",Costa Rica,,"Hotel Rooms: 5","Arenal Vista Verde",Independent
"
Calle 22, Av. 5, frente al Bar Pecos Bill, Barrio Mexico, 15 metros oeste de Transnica., 10002 San José, Costa Rica",Costa Rica,,"Hotel Rooms: 35","Hotel Dorado",Independent
"
Tárcoles, frente a la iglesia católica Tárcoles, frente a la iglesia católica, 61102 Jacó, Costa Rica",Costa Rica,,"Hotel Rooms: 25","Hotel Carara",Independent
"
300 m norte de Escuela La Fortuna, sobre carretera Interamericana Sur, 61001 Italcancori, Costa Rica",Costa Rica,,"Hotel Rooms: 14","Hotel Fortuna Verde",Independent
"
carretera a puerto Caldera, 500mts sur del Double tree by Hilton, frente a la carretera principal, 00011 Boca Barranca, Costa Rica",Costa Rica,,"Hotel Rooms: 7","Hotel Boca Barranca",Independent
"
Primera entrada a Jacó, 50 mts oeste, Jacó, Costa Rica",Costa Rica,,"Hotel Rooms: 18","Loft Pacífico",Independent
"
Calle 4 y 6, Avenida 8, Heredia Centro, Heredia, Costa Rica",Costa Rica,,"Hotel Rooms: 10","Hotel Hojarascas",Independent
"
500 m de Playa Carrillo, 83-6151 Carrillo, Costa Rica",Costa Rica,,"Hotel Rooms: 13","Hotel Hacienda del Mar",Independent
"
900 mts este de la iglesia Catolica de Esparza, 00011 Esparza, Costa Rica",Costa Rica,,"Hotel Rooms: 8","Hotel Villas Posada del Sol",Independent
"
4 Kms East Of Birri, Plan De Birri., 40201 Paso Llano, Costa Rica",Costa Rica,,"Hotel Rooms: 23","Hotel El Cypresal",Independent
"
125mtt oeste del Muelle de cruceros, Paseo de los turistas, Calle 5 Av 4 Cortes Castro, 00111 Puntarenas, Costa Rica",Costa Rica,,"Hotel Rooms: 18","Hotel Oasis del Pacifico",Independent
"
100 metros sur del mall plaza grecia, 10013 Grecia, Costa Rica",Costa Rica,,"Hotel Rooms: 22","Hotel Healthy Day Inn",Independent
"
Katira de Guatuso, frente a la Escuela La Katira, El Achiote, Costa Rica",Costa Rica,,"Hotel Rooms: 16","Hotel Mavi",Independent
"
Gandoca centro, 500 metros sur del Mianet de Gandoca, 70304 Gandoca, Costa Rica",Costa Rica,,"Hotel Rooms: 9","Las Orquideas",Independent
"
200 metros este de la cancha de deportes, 8051 Santa María, Costa Rica",Costa Rica,,"Hotel Rooms: 10","Hotel Valle Verde Confort Spa",Independent
"
300m sur y 50m este del cementerio municipal, barrio cooperativa., 11902 San Isidro, Costa Rica",Costa Rica,,"Hotel Rooms: 28","PZ Country Club Hotel & Spa",Independent
"
A 6km de San Isidro en Pérez Zeledón, carretera a Rivas., Rivas, Costa Rica",Costa Rica,,"Hotel Rooms: 9","Rancho La Botija",Independent
"
2 kilómetros al norte del proyecto geotérmico Miravalles, Fortuna de Bagaces, 60111 Fortuna, Costa Rica",Costa Rica,,"Hotel Rooms: 6","Hotel Yoko Termales",Independent
"
400 mts sureste supercompro Santa Elena, Santa Elena, 60109 Monteverde, Costa Rica",Costa Rica,,"Hotel Rooms: 6","Cabinas Monteverde Paraiso",Independent
"
800 mts Este de la oficina de correos, 50205 Sámara, Costa Rica",Costa Rica,,"Hotel Rooms: 9","LOCANDA SAMARA BEACH",Independent
"
100 metros sur Plaza del Toros, 60104 Jicaral, Costa Rica",Costa Rica,,"Hotel Rooms: 9","Royal Heights",Independent
"
A un lado del Centro de Convenciones , Santa Barbara, 40401 Heredia, Costa Rica",Costa Rica,,"Hotel Rooms: 24","La Catalina Hotel & Suites",Independent
"
La Garita frente a Condominios de Oaks - Carretera Principal entre Huacas y Villa Real, Garita, Costa Rica",Costa Rica,,"Hotel Rooms: 4","Cabinas Cigalou Tamarindo",Independent
"
Bahia Ballena, Sector playa Colonia., Uvita, Costa Rica",Costa Rica,,"Hotel Rooms: 11","Cabinas Esmo Frente Playa",Independent
"
400 mts Este y 3 km al sur de la Iglesia de San Antonio de Escazu Calle 105, 10202 San José, Costa Rica",Costa Rica,,"Hotel Rooms: 29","Hotel Linda Vista",Independent
"
Liberia guanacaste, 62915 Liberia, Costa Rica",Costa Rica,,"Hotel Rooms: 17","Hotel La Arena",Independent
"
50 m Norte Mariposario, 60501 Ciudad Cortés, Costa Rica",Costa Rica,,"Hotel Rooms: 5","Sortisomnis",Independent
"
Buena Vista de San Jose Montaña, Barva, 30001 Heredia, Costa Rica",Costa Rica,,"Hotel Rooms: 4","Gosen B&B",Independent
"
5omts sur del cruce a Potrero y Flamingo  y Banco Nacional, 50308 Playa Flamingo, Costa Rica",Costa Rica,,"Hotel Rooms: 6","Flamingo Cabinas",Independent
"
Km 7 carretera Quepos a Manuel Antonio a mano derecha contiguo Restaurante Rafael, 00010 Manuel Antonio, Costa Rica",Costa Rica,,"Hotel Rooms: 15","Ecohotel Arboleda",Independent
"
2 km sur del hotel el Sabanero Eco Lodge, Cañafistula, Santa Cruz, Gte, 63735 San José Pinilla, Costa Rica",Costa Rica,,"Hotel Rooms: 6","Los Altos de Eros",Independent
"
525 sur de la escuela de guatuso, 60111 San Rafael, Costa Rica",Costa Rica,,"Hotel Rooms: 8","Cabinas los Almendros",Independent
"
Garavito, Playa Jaco, 25 Este y 50 Noreste de Pops, 50600 Jacó, Costa Rica",Costa Rica,,"Hotel Rooms: 10","Hotel Oasis",Independent
"
5 km al norte de la Iglesia de Barva, 40401 Birrí, Costa Rica",Costa Rica,,"Hotel Rooms: 50","Hotel Monte Campana",Independent
"
150mts Este De La Segunda Entrada Después Del Tercer Puente, Carretera Pto Viejo A Manzanillo., Punta Uva, Costa Rica",Costa Rica,,"Hotel Rooms: 8","Arrecife",Independent
"
San Rafael de Escazú, de Plaza Rose ó Rolex 100 Sur, 300 Este, 175 Sur (pasando el condominio Bohemia a mano izquierda), San José - Costa Rica, 10203 San José, Costa Rica",Costa Rica,,"Hotel Rooms: 12","Hotel Dream House Escazú",Independent
"
Residencial Jaco Sol 5, detras de Plaza Coral.,, 00011 Jacó, Costa Rica",Costa Rica,,"Hotel Rooms: 11","Monte Campana Jaco",Independent
"
200 sur de Stanford, 70101 Puerto Viejo, Costa Rica",Costa Rica,,"Hotel Rooms: 8","Exotica Lodge",Independent
"
a 50 metros del Balneario Municipal, a 100 metros del muelle de los ferrys y a 200 metros del mar,, 00111 Puntarenas, Costa Rica",Costa Rica,,"Hotel Rooms: 12","Hotel La Punta",Independent
"
Lomas de Parrita, 10109 Loma, Costa Rica",Costa Rica,,"Hotel Rooms: 25","Hotel Grosseto Palma Real",Independent
"
De la entrada a Cedral, 300mts Norte, y 50mts Este., Quesada, Costa Rica",Costa Rica,,"Hotel Rooms: 20","Hotel La Villa",Independent
"
50 metros norte  en segunda  entrada  sobre la calle principal después del bulevar., 00011 Coco, Costa Rica",Costa Rica,,"Hotel Rooms: 13","Hotel Savannah",Independent
"
1 km al norte de la entrada principal de Adventure Park, 50101 Liberia, Costa Rica",Costa Rica,,"Hotel Rooms: 12","Hospedaje Guanasol",Independent
"
San Carlos, Ciudad Quesada (7 Km en la carretera hacia Aguas Zarcas), 00011 La Marina, Costa Rica",Costa Rica,,"Hotel Rooms: 48","Hotel Termales del Bosque",Independent
"
MONTEVERDE, 300M AL OESTE DE GASOLINERA en MONTEVERDE, 60109 Monteverde, Costa Rica",Costa Rica,,"Hotel Rooms: 7","Hotel Bell Bird",Independent
"
200 metros Este de la Estación de Policía, frente Casa Valeria, Sámara, Costa Rica",Costa Rica,,"Hotel Rooms: 6","Villas Kalimba",Independent
"
Heredia, ruta 1 Cuidad  Cariari, bosques doña Rosa, Rotonda #4,  100 Norte y 100 Este, casa 37J Casa #37j, 40101 Heredia, Costa Rica",Costa Rica,,"Hotel Rooms: 12","Cariari Garden Boutique Hotel",Independent
"
Muelle de San Carlos, 800 mts al Este del servicentro, 10503 Muelle, Costa Rica",Costa Rica,,"Hotel Rooms: 76","Tilajari Hotel Resort & Conference Center",Independent
"
300 metros de la Escuela de Chilamate de Sarapiqui, 00011 Chilamate, Costa Rica",Costa Rica,,"Hotel Rooms: 13","Hotel Maguey",Independent
"
Alajuela centro,Calle 0 y 2, 5º Avenida., 20101 Alajuela, Costa Rica",Costa Rica,,"Hotel Rooms: 10","Hotel El Tucan",Independent
"
800 metros este SJO Aeropuerto Internacional, 20101 Alajuela, Costa Rica",Costa Rica,,"Hotel Rooms: 12","Hotel Casa Antigua",Independent
"
3.5 km from Nuevo Arenal (New Arenal Town) on the road towards Tilaran,, 50704 Nuevo Arenal, Costa Rica",Costa Rica,,"Hotel Rooms: 6","Establo Arenal",Independent
"
Barrio orquideas, Santa Elena, Monteverde, 60109 Monteverde, Costa Rica",Costa Rica,,"Hotel Rooms: 15","Hotel El Amanecer",Independent
"
200 mts Sur y 200 mts Este Escuela Pacto del Jocote - Urb. Los Jardines, 00011 Alajuela, Costa Rica",Costa Rica,,"Hotel Rooms: 20","Hotel Villas Colibri",Independent
"
40 metros sur del restaurante Elena Brown, 20101 Puerto Viejo, Costa Rica",Costa Rica,,"Hotel Rooms: 6","Vista Verde",Independent
"
Puntarenas, Aguirre Manuel Antonio, 60601 Manuel Antonio, Costa Rica",Costa Rica,,"Hotel Rooms: 25","Hotel Manuel Antonio Park",Independent
"
Calle 8 Avenida 0, Frente de Tuasa, 20101 Alajuela, Costa Rica",Costa Rica,,"Hotel Rooms: 40","Hotel Central",Independent
"
2km Oeste del Centro de la Fortuna , 21007 Fortuna, Costa Rica",Costa Rica,,"Hotel Rooms: 28","Hotel La Pradera del Arenal",Independent
"
Playa Negra 3er Camino Izquierda Despues Banana Azul, 70401 Puerto Viejo, Costa Rica",Costa Rica,,"Hotel Rooms: 7","VIP Hotel Playa Negra",Independent
"
Miramar, Puntarenas, 025550 Tajo Alto, Costa Rica",Costa Rica,,"Hotel Rooms: 6","Adventure Park & Hotel Vista Golfo",Independent
"
La Javilla, Frente a la Escuela, 50906 Islita, Costa Rica",Costa Rica,,"Hotel Rooms: 8","Hotel Laguna Mar",Independent
"
1 Km. al oeste de la reserva Monteverde, 21007 Monteverde, Costa Rica",Costa Rica,,"Hotel Rooms: 26","Trapp Family Lodge Monteverde",Independent
"
Carretera de Manuel Antonio, 60601 Manuel Antonio, Costa Rica",Costa Rica,,"Hotel Rooms: 5","Hotel Mono Azul",Independent
"
Diagonal Estación de Servicio Paso Real, Perez Zeledón, Costa Rica, 48000 Daniel Flores, Costa Rica",Costa Rica,,"Hotel Rooms: 47","Hotel del Sur",Independent
"
Avenida 1 Turrialba contiguo al La Clinica de Especialidades Medicas Francis, 71050 Turrialba, Costa Rica",Costa Rica,,"Hotel Rooms: 20","Hotel Interamericano",Independent
"
Calle principal Avellanas, 50309 Playa Avellana, Costa Rica",Costa Rica,,"Hotel Rooms: 7","Hotel Mauna Loa",Independent
"
Playa hermosa, de la plaza de futbol 300 mts sur sobre carretera principal, 00010 Playa Hermosa, Costa Rica",Costa Rica,,"Hotel Rooms: 12","Hotel Vista Hermosa",Independent
"
Los Planes de Drake, 60505 Drake, Costa Rica",Costa Rica,,"Hotel Rooms: 4","Naguala Eco-Aldea",Independent
"
Route 702 Road San Ramon to La Fortuna, 32 km from San Ramon, 4250 Colonia Palmareña, Costa Rica",Costa Rica,,"Hotel Rooms: 33","Lands in Love Hotel and Resort",Independent
"
Cabo Matapalo. Puntarenas, 00011 Puerto Jiménez, Costa Rica",Costa Rica,,"Hotel Rooms: 17","Lapa Rios Ecolodge",Independent
"
Playa Avellanas, 50303 Playa Avellana, Costa Rica",Costa Rica,,"Hotel Rooms: 7","Hotel Mediterraneo",Independent
"
350 metres east from Pops Ice Cream Parlour, 61101 Jacó, Costa Rica",Costa Rica,,"Hotel Rooms: 14","Blue Palm Hotel",Independent
"
diagonal Casa Esmeralda, 50205 Sámara, Costa Rica",Costa Rica,,"Hotel Rooms: 8","Casa Paraiso Veggie Restaurant AhoraSI!",Independent
"
Ave 6, Calle 21 y 25 Casa 2194, 10104 San José, Costa Rica",Costa Rica,,"Hotel Rooms: 10","Hotel Posada del Sol",Independent
"
Costado Oeste de la Plaza de Deportes, Samara Centro., 00011 Sámara, Costa Rica",Costa Rica,,"Hotel Rooms: 15","Hotel Playa Samara",Independent
"
Alajuela, Atenas, 20501 Atenas, Costa Rica",Costa Rica,,"Hotel Rooms: 15","Hotel Colinas del Sol",Independent
"
De la Universidad Nacional 1 km sobre carretera a San Rafael, 52-3000 Heredia, Costa Rica",Costa Rica,,"Hotel Rooms: 21","Hotel Cibeles Resort",Independent
"
50 E Redondel De Toros, 20502 Atenas, Costa Rica",Costa Rica,,"Hotel Rooms: 3","The Retreat Costa Rica",Independent
"
100 metros Este de la plaza de deportes  Playa Potrero, 50308 Playa Conchal, Costa Rica",Costa Rica,,"Hotel Rooms: 18","Hotel Bahia Esmeralda",Independent
"
 Calle el Bajo, Guácima, Alajuela 20105, 20105 Guácima, Costa Rica",Costa Rica,,"Hotel Rooms: 25","Guacima Country Inn",Independent
"
Orosi de Cartago, 95710 Cartago, Costa Rica",Costa Rica,,"Hotel Rooms: 69","Hotel Rio Perlas Spa y Resort",Independent
"
Calle 8 y Avenida 1, 60111 San José, Costa Rica",Costa Rica,,"Hotel Rooms: 25","Hostel Gran Imperial",Independent
"
100 metros sur del cruce entre Mal Pais y Santa teresa, 60101 Santa Teresa, Costa Rica",Costa Rica,,"Hotel Rooms: 10","Hotel Ritmo Tropical",Independent
"
150 Más Al Suroeste Del Rte. Elena Brown, Puerto Viejo, Costa Rica",Costa Rica,,"Hotel Rooms: 4","Hotel Aban",Independent
"
Paseo de los Turistas Puntarenas Costa Rica, 00011 Puntarenas, Costa Rica",Costa Rica,,"Hotel Rooms: 9","Aldea Casa de los Mariscos",Independent
"
200 meters South of Nosara Yoga Institute & 200 meters west., 50206 Nosara, Costa Rica",Costa Rica,,"Hotel Rooms: 27","Jungle's Edge",Independent
"
De Pinturas Sur 100m al Sur , final de la calle, 61101 Jacó, Costa Rica",Costa Rica,,"Hotel Rooms: 8","Jaco Lodge",Independent
"
Costado Este de la Iglesia Adventista, 70205 Tortuguero, Costa Rica",Costa Rica,,"Hotel Rooms: 8","Cabinas Miss Miriam 2",Independent
"
Playa Negra, 70403 Cahuita, Costa Rica",Costa Rica,,"Hotel Rooms: 5","Piscina Natural on the Sea",Independent
"
Costa Ballena 100 mts Sur de la Ferretería el Colono, 60504 Uvita, Costa Rica",Costa Rica,,"Hotel Rooms: 11","Hacienda CoopeAgri",Independent
"
300 mts al este de la s oficinas del Minae, San Gerardo de Rivas, Perez Zeledon, Costa Rica., Herradura, Costa Rica",Costa Rica,,"Hotel Rooms: 9","Hotel De Montaña El Descanso",Independent
"
200 Mt North from Restaurant Bar La Perla ,  Playa Potrero, 50304 Potrero, Costa Rica",Costa Rica,,"Hotel Rooms: 34","Hotel Isolina Beach",Independent
"
700 Este, 50 Norte de la Catedral, 21001 Quesada, Costa Rica",Costa Rica,,"Hotel Rooms: 7","Legacy Boutique Hotel",Independent
"
100 al este y 25 metros al sur de la Estación de policía, 10001 Cahuita, Costa Rica",Costa Rica,,"Hotel Rooms: 15","Cabinas Arrecife",Independent
"
Pacific Canyon Drive 1, Manuel Antonio, Manuel Antonio, Costa Rica",Costa Rica,,"Hotel Rooms: 2","Jungle Villa",Independent
"
300 M Del Parque Marino Ballena, Sector Chaman Playa Colonia, 00011 Uvita, Costa Rica",Costa Rica,,"Hotel Rooms: 12","Hotel Cabinas y Camping el Tecal",Independent
"
Calle 8 Y 10, Avenida 16 #827, 300 Metros Sur De La Bomba De La Castellana Y 50 Oeste, 11000 San José, Costa Rica",Costa Rica,,"Hotel Rooms: 16","Hotel Los Angeles",Independent
"
SanRafael Norte, SanIsidro, Perez Zeledon,contiguo a la escuela Melice  Salazar, 11901 San Isidro, Costa Rica",Costa Rica,,"Hotel Rooms: 8","La Princesa Hotel",Independent
"
Monteverde 800 metros del centro, 51004 Monteverde, Costa Rica",Costa Rica,,"Hotel Rooms: 20","Hotel Roca Verde Monteverde",Independent
"
200 metros oeste Pulperia Y con Puente Piedra, 20307 Grecia, Costa Rica",Costa Rica,,"Hotel Rooms: 9","Villas Escondidas",Independent
"
Tortuguero, Limón, Costa Rica, Tortuguero, Costa Rica",Costa Rica,,"Hotel Rooms: 4","Hotel Tortuguero Jungle",Independent
"
De la Entrada principal del Parque Nacional de Cahuita, 70 metros al oeste., 00011 Cahuita, Costa Rica",Costa Rica,,"Hotel Rooms: 8","Hotel Sunshine",Independent
"
De La Fortuna 4km Camino Hacia El Volcan, 21007 Fortuna, Costa Rica",Costa Rica,,"Hotel Rooms: 7","Loma Real Hotel & Hotsprings",Independent
"
2 Km East from International Airport, Liberia Guanacaste, 50101 Liberia, Costa Rica",Costa Rica,,"Hotel Rooms: 28","Hotel Santa Ana Liberia Airport",Independent
"
Lomas de Jaco, 500 metros norte y 300 oeste de la entrada en el Boulevard, Jacó, Costa Rica",Costa Rica,,"Hotel Rooms: 9","Aparthotel Vista Pacifico",Independent
"
APDO 54 - 5233 Nosara, Nicoya, Guanacaste, Costa Rica, 50206 Nosara, Costa Rica",Costa Rica,,"Hotel Rooms: 3","Dolphin Cabinas Playa Pelada",Independent
"
Desde el centro de Coronado 19km  NE, 11105 Nubes, Costa Rica",Costa Rica,,"Hotel Rooms: 3","Posada Montserrat",Independent
"
8 Km al Oeste de La Iglesia Catolia de la Fortuna San Carlos, Volcan Arenal, 00011 Fortuna, Costa Rica",Costa Rica,,"Hotel Rooms: 70","Montaña de Fuego Resort & Spa",Independent
"
De la Farmacia Lux 250M Sur, 50101 Liberia, Costa Rica",Costa Rica,,"Hotel Rooms: 24","Hotel La Siesta",Independent
"
Al final de calle Cocal a mano izquierda, 50135 Jacó, Costa Rica",Costa Rica,,"Hotel Rooms: 14","Hotel Mango Mar",Independent
"
Del centro de las Fortuna 2 km Carretera desviación a la izquierda hacia el volcan , 18344 Fortuna, Costa Rica",Costa Rica,,"Hotel Rooms: 18","Catarata Eco Lodge",Independent
"
Kilometro 2, avenida principal. Golfito, 60701 Golfito, Costa Rica",Costa Rica,,"Hotel Rooms: 6","Fish Hook Marina Hotel",Independent
"
100 m West and 75 m South from Bar 2 de Enero , San Antonio, Costa Rica",Costa Rica,,"Hotel Rooms: 16","Belen Suites",Independent
"
Tortuguero Limón 100 metros Norte del tanque del agua, 50309 Tortuguero, Costa Rica",Costa Rica,,"Hotel Rooms: 8","Cabinas Balcon del Mar Tortuguero",Independent
"
450mts south from Parque de Paraiso, Turn left in the Fire Station 800mts east, in front of Picacho turn right 500mts, 30201 Paraíso, Costa Rica",Costa Rica,,"Hotel Rooms: 12","Paraiso Orocay Lodge",Independent
"
700 mst norte del Liceo Canaan San Gerardo de Rivas, 11904 San Isidro, Costa Rica",Costa Rica,,"Hotel Rooms: 13","Hotel de Montaña El Pelicano",Independent
"
Avenida 8 Calle 31 , 10101 San José, Costa Rica",Costa Rica,,"Hotel Rooms: 8","Hotel Le Voltaire",Independent
"
400 metros Norte y 400 metros Oeste de Mc Donald, frente al Liceo Laboratorio, en residencial Del Rio, sobre Av 11, 50101 Liberia, Costa Rica, 50101 Liberia, Costa Rica",Costa Rica,,"Hotel Rooms: 23","Hotel Del Rio",Independent
"
2 km east of Plaza Carrillo, 50205 Carrillo, Costa Rica",Costa Rica,,"Hotel Rooms: 16","El Sueño Tropical",Independent
"
3 kilometros de la  interseccion de Huacas, camino principal a Playa Tamarindo, 50309 Tamarindo, Costa Rica",Costa Rica,,"Hotel Rooms: 28,,","Best Western Camino a Tamarindo","Hotel Chain:
Best Western"
"De la entrada principal de Cahuita, siguiendo por la carretera a Puerto Viejo, 500 metros sur y 300 metros este, 70403 Cahuita, Costa Rica",Costa Rica,,"Hotel Rooms: 10","Ciudad Perdida EcoLodge",Independent
"
Monteverde Puntarenas, 60109 Monteverde, Costa Rica",Costa Rica,,"Hotel Rooms: 59","Monteverde Country Lodge",Independent
"
del mar academy, 50206 Nosara, Costa Rica",Costa Rica,,"Hotel Rooms: 4","Surf Bikini Retreat",Independent
"
Punta Uva, 60111 Puerto Viejo, Costa Rica",Costa Rica,,"Hotel Rooms: 12","Cabinas Selvin y Blanca",Independent
"
Contiguo a la arboleda, 100 metros calle principal mano derecha, 60601 Manuel Antonio, Costa Rica",Costa Rica,,"Hotel Rooms: 5","Villas de la Selva",Independent
"
Contiguo a la Iglesia de Barrio Trinidad, Ciudad Colón, 10200 Colón, Costa Rica",Costa Rica,,"Hotel Rooms: 18","Hotel El Marañón",Independent
"
From the Ancor Sculpture 200 Meters East and 700 Meters South, 50503 Coco, Costa Rica",Costa Rica,,"Hotel Rooms: 8","Villa Buena Onda",Independent
"
Playa Uvita, Bahia Ballena, 11301 Uvita, Costa Rica",Costa Rica,,"Hotel Rooms: 10","Hotel Nido del Halcon",Independent
"
Calle Plancillo S/N, 00011 Atenas, Costa Rica",Costa Rica,,"Hotel Rooms: 8","Hotel Villas de la Colina",Independent
"
On the road to Punta Quepos, 6350, Costa Rica, 00010 Manuel Antonio, Costa Rica",Costa Rica,,"Hotel Rooms: 13","Issimo Suites (Adults Only)",Independent
"
Calle Pochote, Apartado 42, 61101 Jacó, Costa Rica",Costa Rica,,"Hotel Rooms: 4","Hotel Pochote Grande",Independent
"
Frente al campo de futbol en Tortuguero, 70205 Tortuguero, Costa Rica",Costa Rica,,"Hotel Rooms: 6","Cabinas Miss Miriam 1",Independent
"
 300 metros Norte de la Municipalidad de Garabito., 61101 Jacó, Costa Rica",Costa Rica,,"Hotel Rooms: 70","Hotel Amapola",Independent
"
100 meters Norte Soda Tranquilo, Zancudo, Costa Rica",Costa Rica,,"Hotel Rooms: 4","Coloso del Mar",Independent
"
Carretera a Monteverde,Costa Rica, Santa Elena, 60109 Monteverde, Costa Rica",Costa Rica,,"Hotel Rooms: 16","Hotel Claro de Luna",Independent
"
300 metros antes de Pipasa, Carbonal, San Roque, Arriba de Grecia, 20304 Grecia, Costa Rica",Costa Rica,,"Hotel Rooms: 6","Hotel Mango Valley",Independent
"
100 metros norte del banco nacional, 21007 Fortuna, Costa Rica",Costa Rica,,"Hotel Rooms: 6","Cabinas Las Tinajas",Independent
"
Avenida 11, 51741000 San José, Costa Rica",Costa Rica,,"Hotel Rooms: 30","Inca Real",Independent
