chain,name,country,area,rooms,price,street
,The Ocean Club of Manuel Antonio,Costa Rica,Manuel Antonio,,0,"Manuel Antonio, Punta Quepos"
,Centro Cultural Bribripa,Costa Rica,Buenos Aires,,0,Territorio Indigena Salitre Buenos Aires
,Rio Perdido Canas,Costa Rica,Bagaces,,0,"6 Kms Este De San Bernardo De Bagaces , Bagaces, Costa Rica, 50402"
,The Peace Lodge At La Paz Waterfall Gardens,Costa Rica,Alajuela,,0,"Vara Blanca, Alajuela , Alajuela, Costa Rica,"
,Casa Amada Tambor,Costa Rica,Tambor,,0,Villas del Mar
,Hotel Casa Tago,Costa Rica,Alajuela,,0,Social 75 mts al Este
,Hotel Los Heroes,Costa Rica,La Fortuna,,0,Nuevo Arenal
,Hotel Coconut House,Costa Rica,Alajuela,,0,Del Supermercado La Trinidad 100 Sur y 350 oeste
,Samoa Lodge & Resort,Costa Rica,Tortuguero,,0," Tortugero , 10736-1000"
,Volcano Turrialba Lodge,Costa Rica,Turrialba,,0,Betweenn Irazu and 1 Turialba Vocanoes
,Beso del Viento - ADULTS ONLY,Costa Rica,Parrita,,0,Playa Isla Palo Seco
,San Lorenzo Inn,Costa Rica,San Pedro,,0,Residencial San Lorenzo San Lorenzo de Flores
,Hotel Cafe de Paris Nicoya,Costa Rica,Nosara,,0,Apdo 5233 
,Hostel Van Gogh,Costa Rica,San Jose,,0,"Calle 7, 150 mts North Parque Morazan, Amon"
,Hotel Capital San Jose,Costa Rica,San Jose,,0,4th. Street Between Ave. 3 y 5 - 25 Meters North Side from National Bank
,FlorticaHostel,Costa Rica,Manuel Antonio,,0, Manuel Antonio
,Sanctuary Resort and Spa,Costa Rica,Santa Cruz,,0,Playa Azul - Guanacaste Costa Rica Central
,Charly's Place Hotel,Costa Rica,Alajuela,,0,200m North 20m East From Central Park
,Hotel Royal Limon,Costa Rica,Puerto Limon,,0,"Calle 7, Ave 6"
,Palacio Zephyr,Costa Rica,Puntarenas,,0,2 Km South Punta Leona entrance Jaco; next to Villa Caletas Hotel
,Apartmentos Agapi,Costa Rica,Puerto Viejo de Talamanca,,0,Road to Cocles Beach
,Lake Arenal Hotel & Brewery,Costa Rica,Naranjos Agrios,,0,Arenal ruta 142 8 Km de TilarA n camino hacia Nuevo
,Villas del Mar,Costa Rica,Jaco,,0, Cahuita National Park
,Puerto Vargas Lodge,Costa Rica,Puerto Viejo de Talamanca,,0,2 Km Al Sur De La Entrada A Parque Nacional Puerto Vargas
,Sarapiquis Rainforest Lodge Puerto Viejo de Sarapiqui,Costa Rica,Puerto Viejo de Sarapiqui,,0,"300 M Norte Del Hogar De Ancianos, La Virgen Northern Mountain Zone / Arenal"
,Makanda By The Sea Manuel Antonio,Costa Rica,Manuel Antonio,,0,800 Mts Oeste Del Hotel La Mariposa
,Backyard Hotel Puerto Limon,Costa Rica,Puerto Limon,,0,Playa Hermosa 4km Playa Jaco - Jaco
,Arenal Kioro Suites and Spa La Fortuna,Costa Rica,La Fortuna,,0,"164-417 La Fortuna, San Carlos - Fortuna "
,Hacienda Pinilla Beach Resort,Costa Rica,Tamarindo,,0,"5150 Playa Avellanas, Santa Cruz Guanacaste - Guanacaste - North Pacific Coast"
,Tamarindo Beach Cabinas,Costa Rica,Tamarindo,,0,"Langosta Road in front of, Kahiky and next to, Chun's Chinese Restaurant"
,Garden Court Hotel & Casino,Costa Rica,Alajuela,,0,1000 Airport Blvd
,Best Western Tamarindo Vista Villas Jaco,Costa Rica,Jaco,,0,"Calle Principal 1000,Playa Tamarindo Tamarindo"
,Villa Caletas Playa Herradura,Costa Rica,Playa Herradura,,0,2km. South From Punta Leona Main Entrance Central Pacific - Puntarenas
,Cariblue,Costa Rica,Tortuguero,,0,"1,5 Kms Al Sur De Pto.Viejo De Talamanca - Tortuguero"
,Rancho Margot La Fortuna,Costa Rica,La Fortuna,,0,"El Castillo, San Isidro De Penas Blancas, San Ramo - Arenal"
,Hotel Poas Volcano Lodge,Costa Rica,Vara Blanca,,0,"Vara Blanca, San Jose 31698"
,Hotel Finca Valverde Monteverde,Costa Rica,Monteverde,,0,Santa Elena Cloud Forest Reserve
,Backpacker's Hostel Montelena,Costa Rica,Monteverde,,0,25 Metros Oeste Del Banco Nacional
,City One,Costa Rica,San Jose,,0,"09 Avenue, Central Street"
,Tierras Enamoradas Ciudad Quesada,Costa Rica,San Ramon,,0,Route 272
,Finca Luna Nueva Lodge La Fortuna,Costa Rica,La Fortuna,,0,San Isidro Penas Blancas - Arenal
,Suerre Caribbean Beach,Costa Rica,Puerto Viejo de Sarapiqui,,0,Frente A Punta Uva - Tortuguero
,Hotel Zelandia,Costa Rica,Colonia dos Rios,,0,Finca Nueva Zelandia
,The Chocolate Hotel,Costa Rica,Tamarindo,,0,"50 Meters East From Stella Restaurant, Playa Tamarindo, Guanacaste, Costa Rica
"
,Casa Corcovado Jungle Lodge Drake Bay,Costa Rica,Drake Bay,,0,Corcovado
,Hotel Villa Lapas Rainforest Eco Resort,Costa Rica,Playa Herradura,,0,185-4021 Orotina
,Gran C Rica Ascend Collection,Costa Rica,San Jose,,0,CALLE 3 Avenida Central y SegundaSan Jose 1000
,Arenal Springs,Costa Rica,Nuevo Arenal,,0,7km Western From La Fortuna
,Arenal Springs La Fortuna,Costa Rica,La Fortuna,,0,Apdo: 99-4417
,Hotel Villas Rio Mar,Costa Rica,Dominical,,0,PO Box 185-8000
,El Manantial Lodge,Costa Rica,San Jose,,0,San Gerardo de Dota
,Apartotel Los Yoses Orosi,Costa Rica,Orosi,,0,De la Fuente de la Hispanidad 125 Mts Oeste Barrio
,Bahia del Sol Potrero,Costa Rica,Potrero,,0,Playa Potrero - Santa Cruz 1
,Sol Samara Samara,Costa Rica,Samara,,0,Playa Samara
,Arenal Nayara La Fortuna,Costa Rica,La Fortuna,,0,600 Mts NORESTE DEL HOTEL Volcano Lodge
,Suites De Luxe Costa Rica,Costa Rica,Santa Ana,,0,"Avalon Country Club, Destello"
,La Posada Tamarindo,Costa Rica,Tamarindo,,0,"2km Oeste Cruce De Villareal,carretera A Tamarindo"
,Premier Fiesta Resort & Spa,Costa Rica,Playa Panama,,0,"Playa Arenilla, Golfo De Papagayo"
,Hotel Ambassador Cariari,Costa Rica,Cariari,,0,Th And 38 Th Street 26
,L'Acqua Viva,Costa Rica,Bagaces,,0,Playa Guiones Nosara
,Villas Sol Hotel & Beach Resort Santa Teresa,Costa Rica,Puerto Coyote,,0,Promotora La Costa; Playa Hermosa
,Villas Club Las Palmas,Costa Rica,La Virgen,,0,506 50 Mts Al Norte Del Ebais De Chilamate
,Arenal Volcano Hostel,Costa Rica,La Fortuna,,0,500 Mts Norte Banco Nacional
,Giada Nicoya,Costa Rica,Nicoya,,0,Playa Samara / Nicoya - Playa Samara
,Belmar Hotel Santa Teresa,Costa Rica,Santa Teresa,,0,Monteverde Costa Rica
,Punta Islita Hotel San Jose,Costa Rica,San Jose,,0,PO Box 242-1225 Plaza Mayor
,Mirador Osa Osa,Costa Rica,Osa,,0,"Los Mogos de Sierpe,18 km del Chacarita Carretera a Puerto Jimenez"
,Arenal Jireh,Costa Rica,La Fortuna,,0,150 Mtrs.Oeste Del Parque Central La Fortuna
,Villas Rio Mar Manuel Antonio,Costa Rica,Manuel Antonio,,0,Playa Dominical
,Cristal Ballena Resort,Costa Rica,Caldera,,0,"7km al Sur de Uvita, Osa Playa Ballena"
,Reserva Conchal Beach Resort Golf & Spa,Costa Rica,Siquirres,,0,Cabo Velas; Santa Cruz
,Occidental El Tucano & Spa Aguas Zarcas,Costa Rica,Ciudad Quesada,,0,La Marina San Carlos
,De Campo Cano Negro,Costa Rica,Cano Negro,,0,"Cano Negro Los Chiles, Guanacaste, Cr"
,Villa Pochote,Costa Rica,Montezuma,,0,"Calle Linda Vista, Montezuma"
,Beacon Escazu,Costa Rica,Alajuela,,0,150 Meters West Of Bcr Bank
,La Foresta Nature Resort Quepos,Costa Rica,Quepos,,0,200M Norte del Aeropuerto Quepos
,La Condesa Hotel,Costa Rica,Escazu,,0,"San Rafael Ctra. , Ctra. De La Monte De Cruz"
,Sol Samara,Costa Rica,Samara,,0,South and 250 m East from the
,Bahia Del Sol Beach,Costa Rica,Playa Flamingo,,0,2km Oests National Bank At The
,Villas Hermosa Heights,Costa Rica,Playa Hermosa,,0,Playa Hermosa
,Marbella Hotel Jaco,Costa Rica,Playa Herradura,,0,Los5 Suenos Marina Village
,Savegre Hotel De Montana,Costa Rica,San Gerardo de Dota,,0,1 Km Al Sur De La Escuela La Lidia
,Guanamar Beach Resort,Costa Rica,Dominical,,0,Playa Carrillo Guanacaste
,Villa Nacara,Costa Rica,Tamarindo,,0,Villareal - Hernandez
,Royal Heights Nicoya,Costa Rica,Jicaral,,0,Jicaral
,Monarch Resort Playa Hermosa,Costa Rica,Playa Panama,,0,Boulevard De Papagayo Papagayo
,Hacienda Guachipelin Guanacaste,Costa Rica,Bagaces,,0,Rincon De La Vieja Rincon De La Vieja
,Sol Papagayo,Costa Rica,Culebra,,0,Papagayo Gulf Northern
,Finca Rosa Blanca Coffee Plantation and Inn,Costa Rica,Santa Barbara,,0,1km west from Britt Coffee Distribution Santa Barbara de
,El Sesteo All Suites,Costa Rica,San Jose,,0, Sabana
,Le Cameleon Hotel Puerto Viejo de Talamanca,Costa Rica,Puerto Viejo de Talamanca,,0,Puerto Viejo
,Costa Verde Manuel Antonio,Costa Rica,Manuel Antonio,,0,3 Miles from the village of Quepos
,The Bed & Breakfast the Rock,Costa Rica,San Jose,,0,950mts north from the Embassy of the USA
,Kekoldi Beach Hotel,Costa Rica,Quepos,,0,From Quepos 2.5 Miles Main Road To Manuel Antonio National Park
,HERMOSA DEL MAR Siquirres,Costa Rica,Siquirres,,0,"Playa Hermosa, Guanacaste"
,GUANAMAR Puerto Carrillo,Costa Rica,Samara,,0," 1,5 km south and 1,5 km west from La FortunaA´s Ca,"
,Los Suenos Rentals Playa Herradura,Costa Rica,Playa Herradura,,0,"800mts West Herradura Road, Puntarenas, Costa Rica"
,Zancudo Beach Resort,Costa Rica,Zancudo,,0,"Playa Zancudo; Golfito; Puntarenas
 "
,Isolina Beach Hotel,Costa Rica,Culebra,,0,"200 Mts Bar La Perla, Playa Potrero, Santa Cruz / Guanacaste"
,Hotel Conchal,Costa Rica,Culebra,,0,"Conchal Hotel, 200 M Sur Escuela, Playa Brasilito / Guanacaste"
,Lapa Rios,Costa Rica,Carate,,0,"Pen Nsula De Osa, Playa Carbonera"
,Claro de Luna Puntarenas,Costa Rica,Pitahaya de Puntarenas,,0,Santa Elena de Monteverde
,Hotel Kamuk,Costa Rica,Quepos,,0,"Central Avenue, across the street from the ocean PO Box: 18-635"
,Trapp Family Lodge Monteverde,Costa Rica,Monteverde,,0,Santa Elena
,Pacuare Lodge Turrialba,Costa Rica,Turrialba,,0,Pacuare Lodge
,Tierras Enamoradas Santo Domingo,Costa Rica,San Isidro,,0,Route 272 32 km from San Ramom to La Fortuna
,Hotel Le Chameleon,Costa Rica,Puerto Viejo de Talamanca,,0,De La Torre Ice 500 Metros Sur Y 250 Metros Este
,Hotel Plaza San Jose,Costa Rica,San Jose,,0,Central Avenue between 2nd and 4th street
,Banana Azul,Costa Rica,Tortuguero,,0,Puerto Viejo de Talamanca - Tortuguero
,Quinta del Sol,Costa Rica,Nicoya,,0,Residencial Rio Santo
,Occidental El Tucano & SPa,Costa Rica,San Carlos,,0,Aguas Zarcas
,Hotel Tamarindo Diria Beach,Costa Rica,Liberia,,0,Calle Principal
,Allegro Papagayo Alajuela,Costa Rica,Marsella,,0,"Playa Manzanillo, Liberia, Golfo de Papagayo, Guanacaste. Costa Rica"
,Rio Celeste Posada Rural,Costa Rica,San Rafael de Guatuso,,0,"100 norte, 200 este de la escuela Rio Cel, Guatuso Alajuela,CR"
,La Ruka Hostel,Costa Rica,Puerto Viejo de Talamanca,,0,400 meters passed Salsa Brava
,Alma Del Pacifico,Costa Rica,Parrita,,0,Playa Esterillos Este
,Hacienda Guachipelin Buenos Aires,Costa Rica,Buenos Aires,,0,22 Kilometros Al Norte De Liberia
,Best Western Ecoplaya,Costa Rica,La Cruz de Guanacaste,,0,Bahia Salinas - Playa La Coyotera 2228-7146
,Catalinas Beach Hotel Potrero,Costa Rica,Potrero,,0,Playa Prieta
,Hostal Kontiki,Costa Rica,Tamarindo,,0,"500m N de la, Plaza, Los Pargos,Paraiso, Sta Cruz"
,Oceans Bahia Azul,Costa Rica,Jaco,,0,"Calle Bohio 50 Mts West, Jaco, Costa Rica"
,El Cafetal Inn Hotel,Costa Rica,Atenas,,0,"105 Atenas Santa Eulalia of Atenas, Costa Rica "
,Casa Marbella,Costa Rica,Marbella,,0,San Juanillo
,Corcovado Pura Vista Eco Camp,Costa Rica,Drake Bay,,0,"Bahia Drake, Peninsula de Osa"
,Rancho Casa Grande Quepos,Costa Rica,Quepos,,0,"Quepos, 200 Km Al Norte Del Aeropuerto"
,Arenal Paraiso Hotel & Spa,Costa Rica,Ciudad Quesada,,0,"8 Km De La Fortuna, Arenal"
,Mediterraneus Hotel And Spa,Costa Rica,Siquirres,,0,400 Meters East From Potrero Downtown
,B W San Jose - Grupo Marta,Costa Rica,Moravia,,0,"Avenida 7, Calles 6 Y 8"
,La Colina Hotel,Costa Rica,La Fortuna,,0,Manuel Antonio
,Casa Conde Del Mar San Jose,Costa Rica,San Jose,,0,Playa Panama - 68240
,Playa De Las Palmas,Costa Rica,Playas del Coco,,0,Centro Commercial El Pueblito
,Hotel Vista del Valle,Costa Rica,El Rosario de Naranjo,,0,"Calle Indio, El Rosario de Naranjo."
,El Nakuti Resort,Costa Rica,Playa Flamingo,,0,Golfo De Papagayo
,Canyon De La Vieja Lodge Culebra,Costa Rica,Culebra,,0,Rincon De La Vieja Mountains
,Magica Cantarrana Hotel,Costa Rica,San Jose,,0,Playa Samara - Guancaste
,Santa Teresa Sunset Villas,Costa Rica,Santa Teresa,,0,Playa Carmen & Santa Teresa
,Mini Hostel Malpais,Costa Rica,Santa Teresa,,0,"500 mts north, and after the first bridge, 100 m, Mal Pais Santa Teresa"
,Hacienda Pinilla Vacation Rentals,Costa Rica,Tamarindo,,0,"Carretera Tamarindo, 3 km south"
,Hotel California Manuel Antonio,Costa Rica,Manuel Antonio,,0,2 Kilometers main road to
,Hostel Sinai,Costa Rica,Monteverde,,0,150 mts from Down Town Sata Elena
,Hotel Recreo Culebra,Costa Rica,Culebra,,0,"800 West Playa Rejada, Liberia 00000"
,Flamingo Marina Resort,Costa Rica,Nuevo Arenal,,0,Centro De Flamingo
,Condominios Monaco,Costa Rica,Jaco,,0,"Jaco Downtown, 50 mts east from KFC"
,Bello Horizonte Jungle Hostel,Costa Rica,Puerto Jimenez,,0,"Calle la Balsa, Puerto Jimenez"
,Casa Caletas,Costa Rica,Caldera,,0,Punta Coyete en Guanacaste
,Coloso del Arenal La Fortuna,Costa Rica,La Fortuna,,0,1 km este del parque central de La Fortuna
,Mirador Lodge Hotel,Costa Rica,Santa Teresa,,0,Cloud Forest Monteverde Costa Rica
,Tropicana Hotel,Costa Rica,Tamarindo,,0,Tamarindo Beachfront St
,Hotel Villas del Papagayo Playa Panama,Costa Rica,Playa Panama,,0,Playa Panama
,Chill Out Backpackers,Costa Rica,La Fortuna,,0,San Carlos
,De Lucia Inn Hotel Monteverde,Costa Rica,Monteverde,,0,"Cerro Planno, Monteverde, Costa Rica 
"
,Shangri la Hostel,Costa Rica,Cahuita,,0,Contiguo Estacion de Autobuses
,Casa Camarona,Costa Rica,Puerto Viejo de Talamanca,,0,Cocles Beach Puerto Viejo
,Condo Amazing Ocean Views,Costa Rica,Samara,,0,800mts Camino Hacia Playa Carrillo Condominio Veneto
,Veranda Hotel Jaco,Costa Rica,Playa Herradura,,0,Los6 Suenos Marina Village
,Bahia Encantada,Costa Rica,Jaco,,0,Costa Pacifico Central - san jose
,Hotel H&B Cabinas & Restaurante,Costa Rica,Tambor,,0,"Carretera a Cobano, playa Tambor Puntarenas"
,Esencia Santa Teresa,Costa Rica,Santa Teresa,,0,Santa Teresa Mal Pais
,Puerto Carrillo Hotel Nicoya,Costa Rica,Nicoya,,0,25 Mt Oeste Iglesia
,Best Western San Jose Downtown,Costa Rica,Tibas,,0,"7 Ave, 6-8 Street, San Jose, Costa Rica"
,Whales And Dolphins,Costa Rica,Jaco,,0,"Playa Uvita , Playa Uvita, Costa Rica,"
,Casa Bavaria,Costa Rica,Alajuela,,0,"From the main junction in Carrizal, 500m on the road to the Poas Vulcano."
,Hotel Rancho Cerro Azul,Costa Rica,La Fortuna,,0,"1 km sur y 600 metros oeste de la Iglesia Catolica de La Fortuna, San Carlos."
,Lake Arenal Hotel and Microbrewery,Costa Rica,Naranjos Agrios,,0,"km. 30, Route 142, Tilaran, Guanacaste"
,Cabinas Arrecife,Costa Rica,Cahuita,,0,100 al este y 25 metros al sur de la Estacion de policia
,Piscina Natural,Costa Rica,Cahuita,,0,Playa Negra
,Villa Andalucia Designer Hotel,Costa Rica,Tamarindo,,0,250 Meters East of Condos Pueblo del Mar
,Hotel Moctezuma,Costa Rica,Montezuma,,0,Montezuma downtown
,Hostel Gran Imperial,Costa Rica,San Jose,,0,Calle 8 y Avenida 1
,Costa Rica Surf Camp by SUPERbrand,Costa Rica,Jaco,,0,150 Meters Southwest Of Municiplaity Jaco Located At Morgans Cove Resort & Casino On The Beach
,Mango Moon Hotel,Costa Rica,Manuel Antonio,,0,200 meters Oeste from the entrance of Hotel la Mariposa
,Cabinas Chale,Costa Rica,Playas del Coco,,0, 600mts Norte Del Bar Lizard
,Cabinas El Sueno,Costa Rica,Parrita,,0,200 Oeste de la RTV (revision tecnica vehicular) de Parrita
,Hotel Don Robert,Costa Rica,Puntarenas,,0,"Costado norte de la Catedral, contiguo Escuela Delia"
,Hotel Rio Piedras,Costa Rica,Naranjos Agrios,,0,Route 142 Halfway Between Tilaran And Nuevo Arenal
,Hotel Rancho De La Playa,Costa Rica,Samara,,0,25 metros oeste de Casa Paraiso
,Casitas Las Flores,Costa Rica,Puerto Viejo de Talamanca,,0,"Casa Amma Road, Playa Negra"
,Hotel Maribu Caribe,Costa Rica,Puerto Limon,,0,Del hospital Tonifacio 4km al norte carretera asi a Moin
,Hotel Villas Vista Arenal,Costa Rica,La Fortuna,,0,800 metros oeste de la Iglesia Catolica
,Hotel El Pequeno Gecko Verde,Costa Rica,Samara,,0,Hotel El Pequeno Gecko Verde - Cantarrana
,Cabinas El Muellecito,Costa Rica,Tortuguero,,0,Barra de Tortuguero frente al muelle principal
,Hotel Gran Arenal,Costa Rica,La Fortuna,,0,1.3 KM North of National Bank
,Cabinas El Colibri,Costa Rica,Puerto Carrillo,,0,"50 meters Este de la Iglesia de Puerto Carrillo, Hojancha, Guanacaste"
,Hotel Playa Bonita,Costa Rica,Puerto Limon,,0,Playa Bonita
,Hotel Las Orquideas Jaco,Costa Rica,Jaco,,0,Monteverde
,Hotel Sierra Arenal,Costa Rica,La Fortuna,,0,"300 metros Oeste de la Iglesia Catolica, Camino al Volcan"
,Royal Heights,Costa Rica,Jicaral,,0,100 metros sur Plaza del Toros
,Playa Hermosa Lodge,Costa Rica,Jaco,,0,"Calle Hermosa, Playa Hermosa, Puntarenas"
,Funky Manza Hostel,Costa Rica,Manzanillo,,0,"In Front of the beach, near the bus station"
,Hotel Calle de Alcala,Costa Rica,Santa Cruz,,0,Santa Cruz
,Hotel Vista Hermosa Playa Hermosa,Costa Rica,Playa Hermosa,,0,"Playa hermosa, de la plaza de futbol 300 mts sur sobre carretera principal"
,Hotel Cayuga,Costa Rica,Puntarenas,,0,Puntarenas centro 50 metros sur de la bomba Acon
,Mirador del Mar,Costa Rica,Esterillos,,0,Costanera
,Cabinas Ostional,Costa Rica,Ostional,,0,35m costado Sur Plaza de Deportes de Ostional 
,Vista Guapa Surf Camp,Costa Rica,Jaco,,0,1ra Entrada A Jaca3 250 Metros Este Y 300 Metros Noreste En Las Lomas
,Hotel Paso Caribe,Costa Rica,Puerto Limon,,0,Bufalo - Limon ruta 32
,Centro Turistico Playa Blanca,Costa Rica,Osa,,0,Playa Blanca De Puerto Jimenez
,Hotel Palmeras Carrillo Beach,Costa Rica,Puerto Carrillo,,0,Costado este soccer Field Puerto Playa Carrillo
,La Perla del Golfo,Costa Rica,Playa Tamarindo,,0,Playa Naranjos 1 Km despues del Ferry Camino a Jicaral
,Gecko House,Costa Rica,Ostional,,0,Route 907
,Hotel Sue,Costa Rica,La Fortuna,,0,De La Iglesia Catolica 4 Kms Carr Hacia El Volcan Northern Mountain Zone / Arenal
,The Goddess Garden Eco-Resort,Costa Rica,Cahuita,,0,Playa Grande
,Turtlehouse B&B,Costa Rica,Ostional,,0,400mE Hotel Luna Azul 400mN
,Casa Bougainvillea Jaco,Costa Rica,Playa Hermosa,,0,"Residential Opera Salvaje, 19A"
,Hotel Pepito's Place,Costa Rica,La Fortuna,,0,75 metros de la oficina de Alamo rental cars
,Hotel Villa Adra,Costa Rica,Tamarindo,,0,Playa Avellanas
,La Josefina,Costa Rica,Tamarindo,,0,Villa Real
,Hotel SueA+-o EspaA+-ol,Costa Rica,Escazu,,0,Calle vieja a Santa Ana Contiguo subestaciA³n ICE
,Sue,Costa Rica,La Fortuna,,0,De La Iglesia Catolica 4 Kms Carr Hacia El Volcan Northern Mountain Zone / Arenal
,Luxury Condominio Coco 22,Costa Rica,Jaco,,0,Villas del Paraiso
,Los Amigos,Costa Rica,Tortuguero,,0,Costado sur del colegio de Tortuguero
,502 S Tres Regalos,Costa Rica,Jaco,,0,Jaco Beach
,Vihara Rentals,Costa Rica,Montezuma,,0,Calle Linda Vista
,Casa Vista del Mar,Costa Rica,Playa Langosta,,0,150 meters North from Supermercado Langosta
,Casa Batsu,Costa Rica,Monteverde,,0,"Los Llanos Street, 606. 100 meters East from El Tubu Gas Station"
,Hostel Casa Celeste,Costa Rica,Monteverde,,0,Monteverde
,Villa Aragon,Costa Rica,Puerto Viejo de Talamanca,,0,"calle del hotel VIP, segunda casa a mano izquierda."
,Vista Al Mar Lodge,Costa Rica,Tortuguero,,0,Jaime Palma frente a la estacion biologica
,Hotel Papa de Paramo,Costa Rica,San Gerardo de Dota,,0,San Ramon Sur de Paramo en Perez Zeledon
,Hotel Villas Playa Samara Nosara,Costa Rica,Nosara,,0,Playa Samara
,Elizondo's House,Costa Rica,Barva,,0,San Pablo de Barva
,Villa Hermosa,Costa Rica,Playa Azul,,0,4 km Sur de Marbella at Playa Azul
,Hotel y Cabina los Suenos,Costa Rica,Samara,,0,150 metros al oeste del Banco Nacional de Costa Rica camino hacia playa Cangrejal
,Cocomarindo Gated Community - 1 bed Apt,Costa Rica,Playas del Coco,,0,Cocomarindo Community Playas del Coco
,Ojo del Mar,Costa Rica,Puerto Jimenez,,0,Pto. Jimenez
,Hostel HP,Costa Rica,Tamarindo,,0,Cruce de Langosta 10 m mano izq frente al bar Falafel
,Manta Raya,Costa Rica,Santa Teresa,,0,1000m del Cruce Mal Pais Santa Teresa y a 200m del Super Fresco
,Hospedaje El Bosquecito,Costa Rica,Uvita,,0,500 m. este del BCR
,Duende de Oro,Costa Rica,Ojochal,,0,Calle Buganvilla
,Cabinas Carrillo,Costa Rica,Puerto Carrillo,,0,50mE del Antiguo Mirador
,Chez Mu Luxury Villa,Costa Rica,Montezuma,,0,1 km road towards Las Delicias
,Cabinas el Tuete,Costa Rica,Monterrey,,0,"600mts Norte, 800mts Este, 1600mts Norte, Del Spring Resort, La Fortuna de San Carlos"
,Hotel y Parque Acuatico La Boya,Costa Rica,Santa Cruz,,0,Del cruce de Huacas 800 metros Sur
,Sandy Bottoms Costa Rica,Costa Rica,Santa Teresa,,0,50 Meters East of Rocamar Restaurant
,The Kinkajou Hut,Costa Rica,Puerto Jimenez,,0,"La Choza del Manglar, 150 m oeste del aeropuerto"
,The Milarepa,Costa Rica,Santa Teresa,,0, 2 Km Norte De La Plaza De Futbol
,Riu Palace Costa Rica Culebra,Costa Rica,Culebra,,0,Playa Matapalo - Sardinal / Guanacaste
,Christina's Bar & Grill Hideaway,Costa Rica,Potrero,,0,Calle Naranja S/N
,Monkeys Guest House Vacation Rental,Costa Rica,Quepos,,0,25 N.W. Calle Estero de Damas
,Villas Rio Ora,Costa Rica,Samara,,0,4 Km Antes Del Centro De Playa Samara
,Feliz Vida,Costa Rica,Jaco,,0," Street Jerusalem, In Contiune The Ice Factory"
,Casa Miramar Potrero,Costa Rica,Playa Flamingo,,0,Playa Flamingo
,Senderos de Paz,Costa Rica,Santa Teresa,,0,1 Playa Hermosa / Manzanillo Beach Road
,The Mango Tree Villas and Spa,Costa Rica,Ojochal,,0,200 meters after the walking bridge over Rio Coronado
,The Gilded Iguana,Costa Rica,Nosara,,0,Playa Guiones
,Club del Mar Condo Resort Jaco 18,Costa Rica,Jaco,,0,Club del Mar
,The Hummingbird,Costa Rica,Quepos,,0,Valle Pura Vida
,Condo Palmas,Costa Rica,Tamarindo,,0,50 meters East from Supercompro
,Villas Costa Grande Casa Sol,Costa Rica,Playa Grande,,0,400 meters north-west from Kieke Restaurant
,Casa Verona,Costa Rica,Quepos,,0,En la Cuesta de Chito a la par del Hotel 3 Banderas
,Hotel Montezuma Pacifico,Costa Rica,Montezuma,,0,A costado suroeste de la iglesia catolica
,Monkey Hut,Costa Rica,Puerto Jimenez,,0,La Choza del Manglar
,Hotel Casa de Palma Coco,Costa Rica,Playas del Coco,,0,"Del Bar restaurante Lizard 200 m N ,Playa del Coco"
,Macaws Ocean Club Jaco Rentals No 2,Costa Rica,Jaco,,0,"Jaco, Costa Rica"
,Casa Estrella Playa Hermosa,Costa Rica,Culebra,,0,Peninsula Papagayo
,Villa Verde 2 Tamarindo,Costa Rica,Tamarindo,,0,Condominio Villa Verde 2
,Martin Pescador House,Costa Rica,Playas del Coco,,0,Urbanizacion Mapache
,Odreman Suites Costa Rica,Costa Rica,Belen,,0,"350 SW Fresh Market La Marina Avenue, Ciudad Cariari, Belén,, San Antonio"
,Surf Inn Hermosa,Costa Rica,Playa Hermosa,,0,500 Meters South of Pochotal School
,Amapola Surf Village,Costa Rica,Santa Teresa,,0,"100 metros norte desde la cancha de futbol, en frente a Brunela Hostel"
,Emerald Abode,Costa Rica,Santa Teresa,,0,Northern Santa Teresa Hhillside property
,El Portico Costa Rica,Costa Rica,Barva,,0,4 Km Este Del Cruce De Barva Birri
,Villa Mar Y Sol,Costa Rica,Quepos,,0,Valle Pura Vida
,Coco54,Costa Rica,Jaco,,0,Condominimum Villas del Paraiso
,Hotel Nacazcol and Beach Club,Costa Rica,Sardinal,,0,Located Just 04 Kilometers
,Hotel Tilawa,Costa Rica,Naranjos Agrios,,0,Tilaran
,Costa Rica Holiday Homestays,Costa Rica,Herradura,,0,San Gerardo de Rivas
,Hotel Novelty Playa,Costa Rica,Puerto Viejo de Talamanca,,0,"Playa negra, 50 metros oeste de hotel Banana Azul"
,Panacea de la Montana,Costa Rica,Tamarindo,,0,"Tamarindo Guanacaste, Costa Rica"
,Hotel Las Brisas del Pacifico,Costa Rica,Samara,,0,Playa 
,Cabinas Talamanca,Costa Rica,Puerto Viejo de Talamanca,,0,Puerto Viejo de Limon; 200 mts del centro pasando por Playa Salsa Braba contiguo al Restaurante Elena Brown
,Harry's El Escondite,Costa Rica,Tamarindo,,0,Cabinas El Escondite
,Aracari,Costa Rica,Tortuguero,,0,100 metros Este y 50 metros Sur del muelle
,Hotel Quetzal Inn,Costa Rica,Monteverde,,0,"Santa Elena, del Banco Nacional 50 mtrs al este santa elena monteverde costa rica, 60109 Monteverde"
,Villas Escondidas,Costa Rica,Grecia,,0,200 metros oeste Pulperia Y con Puente Piedra
