"_type","ambientes","areas_sociales","banos","comment","datos_principales","descripción","detail","entrega","exteriores","generales","habitaciones","m2totales","metros","price","servicios","title","ubicación","unidades"
"Inmuebles24Item","","","10
		
				Baños","Excelente oportunidad, 14 departamentos Edificio terreno 500 metros 1000 construcción 14 departamentos de 2 y 3 recs. muy amplios se rentan en $2,000 pesos cada uno planta baja 1 bar se renta en $13,500 precio $3,900.000 Calle Insurgentes Zona San Juan de Dios a una cuadra de la Calzada independencia","Departamento
													
Precio Venta
																	
MN 3,900,000
500m² Superficie de terreno
1,000m² Superficie construída
10 o más Recámaras
10 o más Baños
Antigüedad: de 20 a 50 años","Excelente oportunidad, 14 departamentos Edificio terreno 500 metros 1000 construcción 14 departamentos de 2 y 3 recs. muy amplios se rentan en $2,000 pesos cada uno planta baja 1 bar se renta en $13,500 precio $3,900.000 Calle Insurgentes Zona San Juan de Dios a una cuadra de la Calzada independencia Ver datos","/propiedades/departamentos-en-venta-plaza-de-los-mariachis-52062952.html","construidos","","Amueblado 
Centros Comerciales Cercanos 
Fumadores 
Cocina integral 
Estado de conservación (Excelente)
Número de departamentos (-14)
Ubicación (Frente)","10
			
					Recámaras","_","_","MN 3,900,000","","Departamentos en Venta Plaza de Los Mariachis","_","_"
"Inmuebles24Item","","","2
		
				Baños","¡Excelente ubicación! Solamente 12 departamentos, cuentan con elevador, area para conserje, estacionamiento para 2 autos en sotano con mucha amplitud, el área privativa cuenta con recamara principal con closet vestidor, tiene closet de blancos, family room y cocina integral con barra de granito.","Departamento
													
Precio Venta
																	
MN 6,200,000
185m² Superficie de terreno
185m² Superficie construída
2 Recámaras
2 Baños
2 Estacionamientos
Antigüedad: A estrenar","¡Excelente ubicación! Solamente 12 departamentos, cuentan con elevador, area para conserje, estacionamiento para 2 autos en sotano con mucha amplitud, el área privativa cuenta con recamara principal con closet vestidor, tiene closet de blancos, family room y cocina integral con barra de granito.","/propiedades/amplio-departamento-en-providencia-52155819.html","totales","","Elevador(es) (2)
Cuartos de servicio","2
			
					Recámaras","185 m²
			totales","_","MN 6,200,000","Seguridad privada 
Cisterna 
Calentador de agua 
Gas","Amplio Departamento en Providencia","Av. Jose Maria Vigil 3095 5, Providencia, Guadalajara","_"
"Inmuebles24Item","","","1
		
				Baño","Se encuentra en 4to nivel, 2 recamaras, 1 bano, cocina, solo con tarja, recién pintado, vitropiso nuevo, area de lavado, cochera 1 auto, propiedad privada frente a un parque.","Departamento
													
Precio Venta
																	
MN 700,000
47m² Superficie de terreno
47m² Superficie construída
2 Recámaras
1 Baño
1 estacionamiento
Antigüedad: 29 años","Se encuentra en 4to nivel, 2 recamaras, 1 bano, cocina, solo con tarja, recién pintado, vitropiso nuevo, area de lavado, cochera 1 auto, propiedad privada frente a un parque.","/propiedades/departamento-en-18-de-marzo.-52155850.html","totales","","","2
			
					Recámaras","47 m²
			totales","_","MN 700,000","","Departamento en 18 de Marzo.","Papantla 1661-24, Unidad habitacional 18 de Marzo, Guadalajara","_"
"Inmuebles24Item","","","2
		
				Baños","PENTHOUSE EN VENTA Y/O PERFECTO PARA OFICINAS, SOBRE LOPEZ COTILLA A PENTHOUSE EN VENTA PERFECTO PARA OFICINAS. $2'700,000 PESOS. LA CONDESA LOPEZ COTILLA #2013 INT 1 P-H1 (piso 4). COLONIA AMERICANA. Terreno 222 mts2 Construcción 230 mts2. Increíble penthouse a media cuadra de centro magno. Primer nivel 3 recamaras con closet, pisos laminados en recamaras, puertas de madera, sala, comedor, cocina integral, 2 baños completos muy amplios, cuarto de lavado y cuarto de servicio independiente con baño completo. En segundo nivel se encuentran 2 cubículos o recamaras muy amplias, todo el nivel tiene piso de madera, closet de piso a techo, área de cava y barra desayunadora. Increíble terraza con vista panorámica aproximadamente 8 x 4.5 mts. Puertas corredizas en el segundo nivel el cual hace que se conecte el área de la terraza, creando un espacio muy amplio. Escalera de metal Un cajón de estacionamiento con portón eléctrico. Mantenimiento $600 pesos. PENTHOUSE EN VENTA PERFECTO PARA OFICINAS. $3’200,000 PESOS. LA CONDESA LOPEZ COTILLA #2013 INT 1 P-H1 (piso 4). COLONIA AMERICANA. Terreno 222 mts2 Construcción 230 mts2. Increíble penthouse a media cuadra de centro magno. Primer nivel 3 recamaras con closet, pisos laminados en recamaras, puertas de madera, sala, comedor, cocina integral, 2 baños completos muy amplios, cuarto de lavado y cuarto de servicio independiente con baño completo. En segundo nivel se encuentran 2 cubículos o recamaras muy amplias, todo el nivel tiene piso de madera, closet de piso a techo, área de cava y barra desayunadora. Increíble terraza con vista panorámica aproximadamente 8 x 4.5 mts. Puertas corredizas en el segundo nivel el cual hace que se conecte el área de la terraza, creando un espacio muy amplio. Escalera de metal Un cajón de estacionamiento con portón eléctrico. Mantenimiento $600 pesos.","Departamento
													
Precio Venta
																	
MN 2,700,000
222m² Superficie de terreno
239m² Superficie construída
4 Recámaras
2 Baños
1 estacionamiento
Antigüedad: de 10 a 20 años","PENTHOUSE EN VENTA Y/O PERFECTO PARA OFICINAS, SOBRE LOPEZ COTILLA A PENTHOUSE EN VENTA PERFECTO PARA OFICINAS. $2'700,000 PESOS. LA CONDESA LOPEZ COTILLA #2013 INT 1 P-H1 (piso 4). COLONIA AMERICANA. Terreno 222 mts2 Construcción 230 mts2. Increíble penthouse a media cuadra de centro magno. Primer nivel 3 recamaras con closet, pisos laminados en recamaras, puertas de madera, sala, comedor, cocina integral, 2 baños completos muy amplios, cuarto de lavado y cuarto de servicio independiente con baño completo. En segundo nivel se encuentran 2 cubículos o recamaras muy amplias, todo el nivel tiene piso de madera, closet de piso a techo, área de cava y barra desayunadora. Increíble terraza con vista panorámica aproximadamente 8 x 4.5 mts. Puertas corredizas en el segundo nivel el cual hace que se conecte el área de la terraza, creando un espacio muy amplio. Escalera de metal Un cajón de estacionamiento con portón eléctrico. Mantenimiento $600 pesos. PENTHOUSE EN VENTA PERFECTO PARA OFICINAS. $3’200,000 PESOS. LA CONDESA LOPEZ COTILLA #2013 INT 1 P-H1 (piso 4). COLONIA AMERICANA. Terreno 222 mts2 Construcción 230 mts2. Increíble penthouse a media cuadra de centro magno. Primer nivel 3 recamaras con closet, pisos laminados en recamaras, puertas de madera, sala, comedor, cocina integral, 2 baños completos muy amplios, cuarto de lavado y cuarto de servicio independiente con baño completo. En segundo nivel se encuentran 2 cubículos o recamaras muy amplias, todo el nivel tiene piso de madera, closet de piso a techo, área de cava y barra desayunadora. Increíble terraza con vista panorámica aproximadamente 8 x 4.5 mts. Puertas corredizas en el segundo nivel el cual hace que se conecte el área de la terraza, creando un espacio muy amplio. Escalera de metal Un cajón de estacionamiento con portón eléctrico. Mantenimiento $600 pesos.","/propiedades/pethouse-en-cuarto-piso-ideal-para-oficinas-frente-a-50852743.html","construidos","","Cocina integral","4
			
					Recámaras","_","_","MN 2,700,000","","Pethouse en Cuarto Piso Ideal Para Oficinas, Frente a Centro Magno.","lopez cotilla, Americana, Guadalajara","_"
"Inmuebles24Item","","","2
		
				Baños","Hermoso Departamento em un conjunto de dos torres , con 6 departamentos cada una, ubicadas en la colonia 8 de julio, a una cuadra de lazaro cardenas y 8 de julio, en una de las zonas mas comerciales de guadalajara El departamento cuenta con tres recamaras, la principal con baño y vestidor, otro baño completo general, sala, comedor, cocina con cubierta de granito, area de lavado.","Departamento
													
Precio Venta
																	
MN 1,870,000
68m² Superficie de terreno
139m² Superficie construída
3 Recámaras
2 Baños
2 Estacionamientos
Antigüedad: A estrenar","Hermoso Departamento em un conjunto de dos torres , con 6 departamentos cada una, ubicadas en la colonia 8 de julio, a una cuadra de lazaro cardenas y 8 de julio, en una de las zonas mas comerciales de guadalajara El departamento cuenta con tres recamaras, la principal con baño y vestidor, otro baño completo general, sala, comedor, cocina con cubierta de granito, area de lavado.","/propiedades/departamento-de-lujo-por-la-clinica-46-del-imms-52157006.html","construidos","","","3
			
					Recámaras","_","_","MN 1,870,000","","Departamento de Lujo por La Clinica 46 del Imms","_","_"
"Inmuebles24Item","Estudio 
Salón de usos múltiples","","3
		
				Baños","Situado en una de las zonas residenciales más consolidadas y gustadas de la ciudad de Guadalajara, Hightower alberga departamentos sofisticados y elegantes en un edificio de arquitectura contemporánea diseñado para deleitar al gusto más exigente. Ubicado en el piso 3, este modelo ofrece: Recámara principal con baño y vestidor 2 recámaras secundarias con closet y baño compartido Estudio Medio baño de visitas Cocina integral equipada Estancia Comedor Lavandería Recámara de servicio con baño Terraza (3.20 m²) Amenidades: Alberca Terraza Salón de usos múltiples Gimnasio Jardín Conserje Vigilante Áreas verdes Circuito cerrado Áreas comunes Sistema de seguridad Elevador Aire acondicionado La plaza principal de Hightower contará con una obra del talentoso escultor tapatío Álvaro Cuevas El precio indicado incluye descuento por pago de contado (90% de enganche y 10% a la entrega) Precio de lista: $4'230,960 Ofrecemos varios planes de financiamiento.","Departamento
													
Precio Venta
																	
MN 3,734,668
157m² Superficie de terreno
154m² Superficie construída
2 Recámaras
3 Baños
1 Medio baño
2 Estacionamientos
Antigüedad: En construcción","Situado en una de las zonas residenciales más consolidadas y gustadas de la ciudad de Guadalajara, Hightower alberga departamentos sofisticados y elegantes en un edificio de arquitectura contemporánea diseñado para deleitar al gusto más exigente. Ubicado en el piso 3, este modelo ofrece: Recámara principal con baño y vestidor 2 recámaras secundarias con closet y baño compartido Estudio Medio baño de visitas Cocina integral equipada Estancia Comedor Lavandería Recámara de servicio con baño Terraza (3.20 m²) Amenidades: Alberca Terraza Salón de usos múltiples Gimnasio Jardín Conserje Vigilante Áreas verdes Circuito cerrado Áreas comunes Sistema de seguridad Elevador Aire acondicionado La plaza principal de Hightower contará con una obra del talentoso escultor tapatío Álvaro Cuevas El precio indicado incluye descuento por pago de contado (90% de enganche y 10% a la entrega) Precio de lista: $4'230,960 Ofrecemos varios planes de financiamiento.","/propiedades/colomos-providencia-departamento-de-lujo-154-m-51207439.html","construidos","","Elevador(es) (3)
Alberca 
Centros Comerciales Cercanos 
Escuelas Cercanas 
Mascotas 
Cocina integral 
Piso en el que se encuentra (2)
Número de departamentos (66)","2
			
					Recámaras","_","_","MN 3,734,668","Gimnasio 
Aire acondicionado 
Seguridad privada","Colomos Providencia - Departamento de Lujo - 154 m²","Hipódromo 2077, Fraccionamiento Colomos Providencia, Guadalajara","_"
"Inmuebles24Item","Salón de usos múltiples","","2
		
				Baños","Situado en un conjunto de departamentos estratégicamente ubicado donde lo mejor de Providencia está al alcance, este lujoso departamento está compuesto de: - Cocina integral - Estancia / Comedor - Recámara principal con baño/vestidor - Recámara secundaria con closet y baño compartido - Lavandería Amenidades: - Alberca - terraza y deck - Gimnasio - Salon de usos múltiples - Plaza de arte - Lobby y concierge - Seguridad las 24 horas - Elevadores (2 por torre) - Estacionamiento subterráneo - Estacionamiento de visitas Se ofrecen varios planes de financiamiento. El precio indicado es por pago de contado (enganche 90% + 10% a la entrega). Precio de lista: $ 3'059,018","Departamento
													
Precio Venta
																	
MN 3,059,018
111m² Superficie de terreno
111m² Superficie construída
2 Recámaras
2 Baños
2 Estacionamientos
Antigüedad: En construcción","Situado en un conjunto de departamentos estratégicamente ubicado donde lo mejor de Providencia está al alcance, este lujoso departamento está compuesto de: - Cocina integral - Estancia / Comedor - Recámara principal con baño/vestidor - Recámara secundaria con closet y baño compartido - Lavandería Amenidades: - Alberca - terraza y deck - Gimnasio - Salon de usos múltiples - Plaza de arte - Lobby y concierge - Seguridad las 24 horas - Elevadores (2 por torre) - Estacionamiento subterráneo - Estacionamiento de visitas Se ofrecen varios planes de financiamiento. El precio indicado es por pago de contado (enganche 90% + 10% a la entrega). Precio de lista: $ 3'059,018","/propiedades/colomos-providencia-departamento-nuevo-2-recamaras-51563021.html","totales","Estacionamiento de visitas","Elevador(es) (2)
Alberca 
Centros Comerciales Cercanos 
Escuelas Cercanas 
Frente a parque 
Cocina integral 
Piso en el que se encuentra (3)
Número de departamentos (58)","2
			
					Recámaras","111 m²
			totales","_","MN 3,059,018","Gimnasio 
Seguridad privada","Colomos Providencia - Departamento Nuevo - 2 Recámaras - 111 m²","Ruben Darío 1728, Fraccionamiento Colomos Providencia, Guadalajara","_"
"Inmuebles24Item","Bodega(s) (1)
Estudio 
Cuarto de TV","","2
		
				Baños","Amplio departamento totalmente remodelado en edificio de tan solo 4 departamentos con jardín y terraza común en Providencia, el cual cuenta con: 3 recámaras, la principal con baño completo y vestidor, las secundarias comparten baño y tienen clóset, estar de TV, sala y comedor amplio, cocina integral equipada cubierta de granito, área de lavado cubierta, cochera para 2 autos con portón eléctrico. Toda la iluminación del departamento es LED, pisos de porcelanato, cristal templado y mármol en baños.","Departamento
													
Precio Venta
																	
MN 3,850,000
170m² Superficie de terreno
170m² Superficie construída
3 Recámaras
2 Baños
1 Medio baño
2 Estacionamientos
Antigüedad: de 5 a 10 años","Amplio departamento totalmente remodelado en edificio de tan solo 4 departamentos con jardín y terraza común en Providencia, el cual cuenta con: 3 recámaras, la principal con baño completo y vestidor, las secundarias comparten baño y tienen clóset, estar de TV, sala y comedor amplio, cocina integral equipada cubierta de granito, área de lavado cubierta, cochera para 2 autos con portón eléctrico. Toda la iluminación del departamento es LED, pisos de porcelanato, cristal templado y mármol en baños.","/propiedades/bonito-departamento-remodelado-en-providencia-52039367.html","totales","Estacionamiento de visitas","Cuartos de servicio 
Centros Comerciales Cercanos 
Escuelas Cercanas 
Mascotas 
Cocina integral 
Estado de conservación (Excelente)
Piso en el que se encuentra (2)
Número de departamentos (4)
Ubicación (Interior)","3
			
					Recámaras","170 m²
			totales","_","MN 3,850,000","Línea telefónica 
Cisterna 
Calentador de agua 
Área de Juegos Infantiles 
Gas","Bonito Departamento Remodelado en Providencia","Florencia , Providencia, Providencia, Guadalajara","_"
"Inmuebles24Item","Cuarto de TV","","3
		
				Baños","PLANTA BAJA: SALA, COMEDOR, COCINA INTEGRAL, 2 RECAMARAS, 2 BAÑOS, BALCÓN, CUARTO DE LAVADO,. PLANTA ALTA: ESTUDIO O CENTRO DE TV, BAÑO, ÁREA DE RELAJACIÓN DE 58mts DESCUBIERTA, ESTACIONAMIENTO PARA 2 AUTOS. PENTHOUSE: NIVELES 4 Y 5, SALA COMEDOR, COCINA INTEGRAL CON CUBIERTA DE MÁRMOL, RECAMARA PRINCIPAL CON BAÑO Y VESTIDOR, ACABADOS DE LUJO, ILUMINADO, VENTILADO, ACCESO PRINCIPAL POR PISO 4°. ELEVADORES, ESTACIONAMIENTOS, DOBLE PUERTA DE SEGURIDAD, MONTE CARGAS, ACCESO CONTROLADO, LOBBY DE RECEPCIÓN A DOBLE ALTURA, CAFETERÍA, SALA LOUNGE, GIMNASIO TOTALMENTE EQUIPADO, CENTRO DE NEGOCIOS SKIBAR","Departamento
													
Precio Venta
																	
MN 5,500,000
232m² Superficie de terreno
1m² 
2 Recámaras
3 Baños
Antigüedad: 1 año","PLANTA BAJA: SALA, COMEDOR, COCINA INTEGRAL, 2 RECAMARAS, 2 BAÑOS, BALCÓN, CUARTO DE LAVADO,. PLANTA ALTA: ESTUDIO O CENTRO DE TV, BAÑO, ÁREA DE RELAJACIÓN DE 58mts DESCUBIERTA, ESTACIONAMIENTO PARA 2 AUTOS. PENTHOUSE: NIVELES 4 Y 5, SALA COMEDOR, COCINA INTEGRAL CON CUBIERTA DE MÁRMOL, RECAMARA PRINCIPAL CON BAÑO Y VESTIDOR, ACABADOS DE LUJO, ILUMINADO, VENTILADO, ACCESO PRINCIPAL POR PISO 4°. ELEVADORES, ESTACIONAMIENTOS, DOBLE PUERTA DE SEGURIDAD, MONTE CARGAS, ACCESO CONTROLADO, LOBBY DE RECEPCIÓN A DOBLE ALTURA, CAFETERÍA, SALA LOUNGE, GIMNASIO TOTALMENTE EQUIPADO, CENTRO DE NEGOCIOS SKIBAR","/propiedades/hermosos-departamentos-en-venta-ubicados-en-la-colonia-52153726.html","construidos","Estacionamiento de visitas","Elevador(es) (1)
Jacuzzi 
Cocina integral 
Número de departamentos (5)","2
			
					Recámaras","_","_","MN 5,500,000","Gimnasio","Hermosos Departamentos en Venta Ubicados en La Colonia Ladron de Guevara","VICTORIANO SALADO ALVAREZ 128, Fraccionamiento Ladrón de Guevara, Guadalajara","_"
"Inmuebles24Item","Bodega(s) (1)
Estudio 
Sala de música y cine 
Salón de Fiestas 
Salón de usos múltiples 
Cuarto de TV","","4
		
				Baños","TENGO 3 de 5,200,000(piso 18)(134 mts) , 7,400,000(piso 12)(199 mts) y 11,000,000(piso 6)(390 mts) ...2,3 y 4 hab respectivamente ..los mejores acabados ...todas las amenidades por torre,alberca gym y sky lounge en la terraza ultimo piso,helipuerto , lobby bellisimo, spa y vista panoramica de la ciudad..","Departamento
													
Precio Venta
																	
MN 7,400,000
199m² Superficie de terreno
199m² Superficie construída
3 Recámaras
4 Baños
2 Estacionamientos
Antigüedad: A estrenar","TENGO 3 de 5,200,000(piso 18)(134 mts) , 7,400,000(piso 12)(199 mts) y 11,000,000(piso 6)(390 mts) ...2,3 y 4 hab respectivamente ..los mejores acabados ...todas las amenidades por torre,alberca gym y sky lounge en la terraza ultimo piso,helipuerto , lobby bellisimo, spa y vista panoramica de la ciudad..","/propiedades/central-park-venta-entre-vallarta-y-ave-mexico-51631389.html","totales","","Elevador(es) (1)
Alberca 
Jacuzzi 
Centros Comerciales Cercanos 
Mascotas 
Cocina integral 
Acceso discapacitados 
Estado de conservación (Excelente)
Piso en el que se encuentra (12)
Ubicación (Frente)","3
			
					Recámaras","199 m²
			totales","_","MN 7,400,000","Gimnasio 
Aire acondicionado 
Seguridad privada 
Cisterna 
Calentador de agua 
Área de Juegos Infantiles 
Gas 
Calefacción","Central Park Venta Entre Vallarta y Ave Mexico","SAN JORGE, Fraccionamiento Vallarta San Jorge, Guadalajara","_"
"Inmuebles24Item","","","3
		
				Baños","OPORTUNIDAD, bodega en planta alta cuenta con sala, comedor y cocina, se aceptan todo tipo de créditos.","Departamento
													
Precio Venta
																	
MN 1,500,000
199m² Superficie de terreno
189m² Superficie construída
3 Recámaras
3 Baños
Antigüedad: de 5 a 10 años","OPORTUNIDAD, bodega en planta alta cuenta con sala, comedor y cocina, se aceptan todo tipo de créditos.","/propiedades/bodega-departamento-en-san-carlos-51624675.html","construidos","","","3
			
					Recámaras","_","_","MN 1,500,000","","Bodega - Departamento en San Carlos","Azucenas #, Barrio San Carlos, Guadalajara","_"
"Inmuebles24Item","Bodega(s) (1)
Salón de Fiestas 
Salón de usos múltiples","","4
		
				Baños","Increíble Vista en el noveno piso del corazón de providencia, tres recamaras con baño y una de servicio, el Departamento es totalmente remodelado y cuenta con doble elevador mas uno de servicio, vigilancia 24 hrs, dos lugares de estacionamiento. Áreas comunes como salón de eventos con cocina y baños, Jardines y Alberca (en remodelación)","Departamento
													
Precio Venta
																	
MN 4,950,000
Mantenimiento
MN 4,900
218m² Superficie de terreno
218m² Superficie construída
4 Recámaras
4 Baños
2 Estacionamientos
Antigüedad: de 20 a 50 años","Increíble Vista en el noveno piso del corazón de providencia, tres recamaras con baño y una de servicio, el Departamento es totalmente remodelado y cuenta con doble elevador mas uno de servicio, vigilancia 24 hrs, dos lugares de estacionamiento. Áreas comunes como salón de eventos con cocina y baños, Jardines y Alberca (en remodelación)","/propiedades/torre-ontario-51158282.html","totales","","Elevador(es) (3)
Alberca 
Cuartos de servicio 
Centros Comerciales Cercanos 
Escuelas Cercanas 
Frente a parque 
Cocina integral 
Acceso tercera edad 
Estado de conservación (Remodelado)
Piso en el que se encuentra (9)
Número de departamentos (25)
Ubicación (Frente)","4
			
					Recámaras","218 m²
			totales","_","MN 4,950,000","Gimnasio 
Seguridad privada 
Cisterna 
Calentador de agua 
Gas","Torre Ontario","Ontario 1410-901, Fraccionamiento Colomos Providencia, Guadalajara","_"
"Inmuebles24Item","","","2
		
				Baños","PREVENTA EDIFICIO BOUTIQUE DE SOLO 4 PISOS SOLO 16 DEPTOS","Departamento
													
Precio Venta
																	
MN 2,132,000
103m² Superficie de terreno
103m² Superficie construída
2 Recámaras
2 Baños
1 Medio baño
2 Estacionamientos
Antigüedad: A estrenar","PREVENTA EDIFICIO BOUTIQUE DE SOLO 4 PISOS SOLO 16 DEPTOS","/propiedades/colonia-moderna-nuevos-51958198.html","totales","","","2
			
					Recámaras","103 m²
			totales","_","MN 2,132,000","","Colonia Moderna Nuevos","_","_"
"Inmuebles24Item","","","2
		
				Baños","Departamento con ubicación privilegiada en 5to piso, 2 recámaras con baño completo (principal con vestidor y balcón), lobby de recepción, cochera techada para 2 autos.","Departamento
													
Precio Venta
																	
MN 3,350,000
Mantenimiento
MN 2,500
100m² Superficie de terreno
100m² Superficie construída
2 Recámaras
2 Baños
2 Estacionamientos
Antigüedad: de 5 a 10 años","Departamento con ubicación privilegiada en 5to piso, 2 recámaras con baño completo (principal con vestidor y balcón), lobby de recepción, cochera techada para 2 autos.","/propiedades/departamento-en-venta-en-prados-providencia-51429492.html","totales","","Escuelas Cercanas 
Cocina integral 
Piso en el que se encuentra (5)","2
			
					Recámaras","100 m²
			totales","_","MN 3,350,000","Aire acondicionado","Departamento en Venta en Prados Providencia","Calle Álcamo 2870 int. 503 esq. con Terranova, Providencia, Guadalajara","_"
"Inmuebles24Item","Estudio","","1
		
				Baño","Departamento con excelente ubicación de 2 recámaras en tercer nivel, sala, comedor, cocina integral, área de lavado y 1 cajón de estacionamiento, con vías de acceso rápidas.","Departamento
													
Precio Venta
																	
MN 950,000
62m² Superficie de terreno
62m² Superficie construída
2 Recámaras
1 Baño
1 estacionamiento
Antigüedad: de 20 a 50 años","Departamento con excelente ubicación de 2 recámaras en tercer nivel, sala, comedor, cocina integral, área de lavado y 1 cajón de estacionamiento, con vías de acceso rápidas.","/propiedades/departamento-en-venta-en-santa-teresita-general-52037130.html","totales","","Centros Comerciales Cercanos 
Escuelas Cercanas 
Cocina integral 
Piso en el que se encuentra (3)","2
			
					Recámaras","62 m²
			totales","_","MN 950,000","","Departamento en Venta en Santa Teresita - General Coronado","CALLE GENERAL CORONADO #769 INT. 304, Villaseñor, Guadalajara","_"
"Inmuebles24Item","","","2
		
				Baños","EXCELENTE UBICACION TORRE SKY LAFAYETTE... 3 RECAMARAS 3.5 BAÑOS ESTUDIO(OPCIONAL) TERRAZA PRIVADA COCINA EQUIPADA CUARTO DE LAVADO 2 CAJONES ESTACIONAMIENTO","Departamento
													
Precio Venta
																	
MN 3,358,313
129m² Superficie de terreno
129m² Superficie construída
2 Recámaras
2 Baños
1 Medio baño
2 Estacionamientos
Antigüedad: En construcción","EXCELENTE UBICACION TORRE SKY LAFAYETTE... 3 RECAMARAS 3.5 BAÑOS ESTUDIO(OPCIONAL) TERRAZA PRIVADA COCINA EQUIPADA CUARTO DE LAVADO 2 CAJONES ESTACIONAMIENTO","/propiedades/venta-departamentos-torre-sky-lafayette-51197154.html","totales","","","2
			
					Recámaras","129 m²
			totales","_","MN 3,358,313","","Venta Departamentos Torre Sky Lafayette","niños heroes, Lafayette, Guadalajara","_"
"Inmuebles24Item","Bodega(s) (1)
Estudio 
Salón de usos múltiples","","2
		
				Baños","Hermoso PH en Torre Aura providencia, impecable, 3 recamaras, 2.5 baños, sala comedor, cocina integral, area de servicio, estancia de tv, roof garden, 3 cajones de estacionamiento. Excelente ubicación.","Departamento
													
Precio Venta
																	
MN 4,650,000
229m² Superficie de terreno
229m² Superficie construída
3 Recámaras
2 Baños
2 Medios baños
3 Estacionamientos
Antigüedad: de 5 a 10 años","Hermoso PH en Torre Aura providencia, impecable, 3 recamaras, 2.5 baños, sala comedor, cocina integral, area de servicio, estancia de tv, roof garden, 3 cajones de estacionamiento. Excelente ubicación.","/propiedades/departamento-venta-monraz-51959767.html","totales","Asador 
Estacionamiento de visitas","Amueblado 
Elevador(es) (1)
Alberca 
Cuartos de servicio 
Centros Comerciales Cercanos 
Escuelas Cercanas 
Fumadores 
Mascotas 
Cocina integral 
Estado de conservación (Excelente)
Piso en el que se encuentra (8)","3
			
					Recámaras","229 m²
			totales","_","MN 4,650,000","Gimnasio 
Aire acondicionado 
Seguridad privada","Departamento Venta Monraz","Manuel Acuña, Monraz, Guadalajara","_"
"Inmuebles24Item","","","2
		
				Baños","LUJOSO, DEPARTAMENTOS EN PREVENTA, VARIOS PRECIOS, DIFERENTES SUPERFICIES, DESDE $2,800,000 HASTA 3'600,000 P.H.; EDIFICIO DE 10 DPTOS - 2 PENT HOUSE CON ELEVADOR, CARPINTERIA PAROTA, ESTACIONAMIENTO EN SOTANO, LUJOS, SALA, COMEDOR, 2 RECS., STAR ò 3 ER REC., 2 BAÑOS, TERR. 125, CONST. 125;PLANTA BAJA 170 TERR: CONST: 116, 2 RECS, COCINA, 2 BAÑOS, PREGUNTE.","Departamento
													
Precio Venta
																	
MN 2,800,000
125m² Superficie de terreno
125m² Superficie construída
2 Recámaras
2 Baños
2 Estacionamientos
Antigüedad: A estrenar","LUJOSO, DEPARTAMENTOS EN PREVENTA, VARIOS PRECIOS, DIFERENTES SUPERFICIES, DESDE $2,800,000 HASTA 3'600,000 P.H.; EDIFICIO DE 10 DPTOS - 2 PENT HOUSE CON ELEVADOR, CARPINTERIA PAROTA, ESTACIONAMIENTO EN SOTANO, LUJOS, SALA, COMEDOR, 2 RECS., STAR ò 3 ER REC., 2 BAÑOS, TERR. 125, CONST. 125;PLANTA BAJA 170 TERR: CONST: 116, 2 RECS, COCINA, 2 BAÑOS, PREGUNTE.","/propiedades/colonia-lafayette-51275263.html","totales","","Cocina integral","2
			
					Recámaras","125 m²
			totales","_","MN 2,800,000","","Colonia Lafayette","LAFAYETTE, Lafayette, Guadalajara","_"
"Inmuebles24Item","","","2
		
				Baños","Excelente departamento en edificio nuevo en la Colonia Santa Tere. Cuenta con 2 recámaras (posibilidad para hacer una tercera), 2 baños completos, sala, comedor, cocina integral, terraza bastante amplia, cochera para 2 o más autos.","Departamento
													
Precio Venta
																	
MN 3,120,000
80m² Superficie de terreno
80m² Superficie construída
2 Recámaras
2 Baños
2 Estacionamientos
Antigüedad: A estrenar","Excelente departamento en edificio nuevo en la Colonia Santa Tere. Cuenta con 2 recámaras (posibilidad para hacer una tercera), 2 baños completos, sala, comedor, cocina integral, terraza bastante amplia, cochera para 2 o más autos.","/propiedades/departamento-nuevo-en-santa-tere-52024548.html","totales","Estacionamiento de visitas","Escuelas Cercanas 
Cocina integral 
Estado de conservación (Excelente)","2
			
					Recámaras","80 m²
			totales","_","MN 3,120,000","","Departamento Nuevo en Santa Tere","_","_"
